n_obs,d,mu_norm,equal_space_mu,n_proj,B,sim,alpha,p_0,avg_ts,reject
100,1,0,0,100,100,127,0.1,0.5,,0
100,1,0,0,100,100,128,0.1,0.5,,0
100,1,0,0,100,100,129,0.1,0.5,,0
100,1,0,0,100,100,130,0.1,0.5,,0
100,1,0,0,100,100,131,0.1,0.5,,0
100,1,0,0,100,100,132,0.1,0.5,,0
100,1,0,0,100,100,133,0.1,0.5,,0
100,1,0,0,100,100,134,0.1,0.5,,0
100,1,0,0,100,100,135,0.1,0.5,,0
100,1,0,0,100,100,136,0.1,0.5,,0
100,1,0,0,100,100,137,0.1,0.5,,0
100,1,0,0,100,100,138,0.1,0.5,,0
100,1,0,0,100,100,139,0.1,0.5,,0
100,1,0,0,100,100,140,0.1,0.5,,0
100,1,0,0,100,100,141,0.1,0.5,,0
100,1,0,0,100,100,142,0.1,0.5,,0
100,1,0,0,100,100,143,0.1,0.5,,0
100,1,0,0,100,100,144,0.1,0.5,,0
100,1,0,0,100,100,145,0.1,0.5,,0
100,1,0,0,100,100,146,0.1,0.5,,0
100,1,0,0,100,100,147,0.1,0.5,,0
100,1,0,0,100,100,148,0.1,0.5,,0
100,1,0,0,100,100,149,0.1,0.5,,0
100,1,0,0,100,100,150,0.1,0.5,,0
100,1,0,0,100,100,151,0.1,0.5,,0
100,1,0,0,100,100,152,0.1,0.5,,0
100,1,0,0,100,100,153,0.1,0.5,,0
100,1,0,0,100,100,154,0.1,0.5,,0
100,1,0,0,100,100,155,0.1,0.5,,0
100,1,0,0,100,100,156,0.1,0.5,,0
100,1,0,0,100,100,157,0.1,0.5,,0
100,1,0,0,100,100,158,0.1,0.5,,0
100,1,0,0,100,100,159,0.1,0.5,,0
100,1,0,0,100,100,160,0.1,0.5,,0
100,1,0,0,100,100,161,0.1,0.5,,0
100,1,0,0,100,100,162,0.1,0.5,,0
100,1,0,0,100,100,163,0.1,0.5,,0
100,1,0,0,100,100,164,0.1,0.5,,0
100,1,0,0,100,100,165,0.1,0.5,,0
100,1,0,0,100,100,166,0.1,0.5,,0
100,1,0,0,100,100,167,0.1,0.5,,0
100,1,0,0,100,100,168,0.1,0.5,,0
100,1,0,0,100,100,169,0.1,0.5,,0
100,1,0,0,100,100,170,0.1,0.5,,0
100,1,0,0,100,100,171,0.1,0.5,,0
100,1,0,0,100,100,172,0.1,0.5,,0
100,1,0,0,100,100,173,0.1,0.5,,0
100,1,0,0,100,100,174,0.1,0.5,,0
100,1,0,0,100,100,175,0.1,0.5,,0
100,1,0,0,100,100,176,0.1,0.5,,0
100,1,0,0,100,100,177,0.1,0.5,,0
100,1,0,0,100,100,178,0.1,0.5,,0
100,1,0,0,100,100,179,0.1,0.5,,0
100,1,0,0,100,100,180,0.1,0.5,,0
100,1,0,0,100,100,181,0.1,0.5,,0
100,1,0,0,100,100,182,0.1,0.5,,0
100,1,0,0,100,100,183,0.1,0.5,,0
100,1,0,0,100,100,184,0.1,0.5,,0
100,1,0,0,100,100,185,0.1,0.5,,0
100,1,0,0,100,100,186,0.1,0.5,,0
100,1,0,0,100,100,187,0.1,0.5,,0
100,1,0,0,100,100,188,0.1,0.5,,0
100,1,0,0,100,100,189,0.1,0.5,,0
100,1,0,0,100,100,190,0.1,0.5,,0
100,1,0,0,100,100,191,0.1,0.5,,0
100,1,0,0,100,100,192,0.1,0.5,,0
100,1,0,0,100,100,193,0.1,0.5,,0
100,1,0,0,100,100,194,0.1,0.5,,0
100,1,0,0,100,100,195,0.1,0.5,,0
100,1,0,0,100,100,196,0.1,0.5,,0
100,1,0,0,100,100,197,0.1,0.5,,0
100,1,0,0,100,100,198,0.1,0.5,,0
100,1,0,0,100,100,199,0.1,0.5,,0
