n_obs,d,mu_norm,equal_space_mu,B,sim,alpha,p_0,test_stat,reject
100,1,0,0,100,68,0.1,0.5,"",0
100,1,0,0,100,69,0.1,0.5,"",0
100,1,0,0,100,70,0.1,0.5,"",0
100,1,0,0,100,71,0.1,0.5,"",0
100,1,0,0,100,72,0.1,0.5,"",0
100,1,0,0,100,73,0.1,0.5,"",0
100,1,0,0,100,74,0.1,0.5,"",0
100,1,0,0,100,75,0.1,0.5,"",0
100,1,0,0,100,76,0.1,0.5,"",0
100,1,0,0,100,77,0.1,0.5,"",0
100,1,0,0,100,78,0.1,0.5,"",0
100,1,0,0,100,79,0.1,0.5,"",0
100,1,0,0,100,80,0.1,0.5,"",0
100,1,0,0,100,81,0.1,0.5,"",0
100,1,0,0,100,82,0.1,0.5,"",0
100,1,0,0,100,83,0.1,0.5,"",0
100,1,0,0,100,84,0.1,0.5,"",0
100,1,0,0,100,85,0.1,0.5,"",0
100,1,0,0,100,86,0.1,0.5,"",0
100,1,0,0,100,87,0.1,0.5,"",0
100,1,0,0,100,88,0.1,0.5,"",0
100,1,0,0,100,89,0.1,0.5,"",0
100,1,0,0,100,90,0.1,0.5,"",0
100,1,0,0,100,91,0.1,0.5,"",0
100,1,0,0,100,92,0.1,0.5,"",0
100,1,0,0,100,93,0.1,0.5,"",0
100,1,0,0,100,94,0.1,0.5,"",0
100,1,0,0,100,95,0.1,0.5,"",0
100,1,0,0,100,96,0.1,0.5,"",0
100,1,0,0,100,97,0.1,0.5,"",0
100,1,0,0,100,98,0.1,0.5,"",0
100,1,0,0,100,99,0.1,0.5,"",0
100,1,0,0,100,100,0.1,0.5,"",0
100,1,0,0,100,101,0.1,0.5,"",0
100,1,0,0,100,102,0.1,0.5,"",0
100,1,0,0,100,103,0.1,0.5,"",0
100,1,0,0,100,104,0.1,0.5,"",0
100,1,0,0,100,105,0.1,0.5,"",0
100,1,0,0,100,106,0.1,0.5,"",0
100,1,0,0,100,107,0.1,0.5,"",0
100,1,0,0,100,108,0.1,0.5,"",0
100,1,0,0,100,109,0.1,0.5,"",0
100,1,0,0,100,110,0.1,0.5,"",0
100,1,0,0,100,111,0.1,0.5,"",0
100,1,0,0,100,112,0.1,0.5,"",0
100,1,0,0,100,113,0.1,0.5,"",0
100,1,0,0,100,114,0.1,0.5,"",0
