n_obs,d,sim,alpha_param,beta_param,B,test_stat,reject
100,1,96,0.1,0.5,100,1.010702648092e+115,1
100,1,97,0.1,0.5,100,7.34843807075117e+122,1
100,1,98,0.1,0.5,100,1.04274542966375e+139,1
100,1,99,0.1,0.5,100,1.24549778626569e+156,1
100,1,100,0.1,0.5,100,3.82140641810403e+156,1
100,1,101,0.1,0.5,100,2.01006011868831e+168,1
100,1,102,0.1,0.5,100,4.38677167795765e+136,1
100,1,103,0.1,0.5,100,7.05468976849706e+142,1
100,1,104,0.1,0.5,100,4.76623212309036e+128,1
100,1,105,0.1,0.5,100,7.03067076759354e+141,1
100,1,106,0.1,0.5,100,1.33806933871763e+165,1
100,1,107,0.1,0.5,100,2.47973453363346e+162,1
100,1,108,0.1,0.5,100,8.51842435820695e+146,1
100,1,109,0.1,0.5,100,3.20453724411934e+131,1
100,1,110,0.1,0.5,100,1.29437861769182e+113,1
100,1,111,0.1,0.5,100,9.42739948217219e+161,1
100,1,112,0.1,0.5,100,4.04016679700762e+137,1
100,1,113,0.1,0.5,100,9.22298413665975e+146,1
100,1,114,0.1,0.5,100,2.14239134842541e+179,1
100,1,115,0.1,0.5,100,1.71213659597646e+143,1
100,1,116,0.1,0.5,100,1.95797904886311e+146,1
100,1,117,0.1,0.5,100,1.140278994954e+174,1
100,1,118,0.1,0.5,100,2.04795385664506e+144,1
100,1,119,0.1,0.5,100,1.53082338983503e+135,1
100,1,120,0.1,0.5,100,1.77977359183794e+115,1
100,1,121,0.1,0.5,100,4.84839603218695e+116,1
100,1,122,0.1,0.5,100,2.5457324089918e+127,1
100,1,123,0.1,0.5,100,4.43811602963788e+127,1
100,1,124,0.1,0.5,100,2.83875508153983e+194,1
100,1,125,0.1,0.5,100,5.94096312583572e+180,1
100,1,126,0.1,0.5,100,1.41724293166401e+140,1
100,1,127,0.1,0.5,100,2.24722809669188e+144,1
100,1,128,0.1,0.5,100,1.8547756056835e+129,1
100,1,129,0.1,0.5,100,1.58463023654688e+130,1
100,1,130,0.1,0.5,100,1.6673142975434e+132,1
100,1,131,0.1,0.5,100,1.2686815640207e+156,1
100,1,132,0.1,0.5,100,1.06289734974012e+166,1
100,1,133,0.1,0.5,100,4.0348108302143e+153,1
100,1,134,0.1,0.5,100,8.49676799822037e+164,1
100,1,135,0.1,0.5,100,4.85752740440402e+120,1
100,1,136,0.1,0.5,100,4.42497419304671e+117,1
100,1,137,0.1,0.5,100,3.04551504762644e+192,1
100,1,138,0.1,0.5,100,1.94625201316861e+119,1
100,1,139,0.1,0.5,100,7.697329163189e+201,1
100,1,140,0.1,0.5,100,6.15297155888262e+152,1
100,1,141,0.1,0.5,100,1.2938303992916e+151,1
100,1,142,0.1,0.5,100,1.59259367524695e+138,1
100,1,143,0.1,0.5,100,5.70522983454757e+137,1
100,1,144,0.1,0.5,100,1.38770948539366e+152,1
100,1,145,0.1,0.5,100,3.18084703425661e+124,1
100,1,146,0.1,0.5,100,3.55648652313064e+136,1
100,1,147,0.1,0.5,100,2.73364757518846e+104,1
100,1,148,0.1,0.5,100,1.65298759889624e+127,1
100,1,149,0.1,0.5,100,2.11845079710172e+141,1
100,1,150,0.1,0.5,100,7.22981722905857e+138,1
100,1,151,0.1,0.5,100,8.44034476481663e+202,1
100,1,152,0.1,0.5,100,9.27091387918873e+129,1
100,1,153,0.1,0.5,100,2.74800919622499e+183,1
100,1,154,0.1,0.5,100,6.40611400680798e+163,1
100,1,155,0.1,0.5,100,6.14744272845965e+133,1
100,1,156,0.1,0.5,100,4.88136872703555e+162,1
100,1,157,0.1,0.5,100,5.28673836032097e+154,1
100,1,158,0.1,0.5,100,3.54115501712736e+145,1
100,1,159,0.1,0.5,100,5.90254370748293e+163,1
100,1,160,0.1,0.5,100,1.32035782786219e+158,1
100,1,161,0.1,0.5,100,4.73909176005107e+119,1
100,1,162,0.1,0.5,100,4.11671074447395e+150,1
100,1,163,0.1,0.5,100,4.06844374123528e+156,1
100,1,164,0.1,0.5,100,2.31225982222258e+153,1
100,1,165,0.1,0.5,100,1.28849283218955e+156,1
100,1,166,0.1,0.5,100,8.47451724481315e+123,1
100,1,167,0.1,0.5,100,1.15827141752238e+120,1
100,1,168,0.1,0.5,100,2.24789693802596e+160,1
100,1,169,0.1,0.5,100,3.23574390585594e+132,1
100,1,170,0.1,0.5,100,3.55987811107219e+149,1
100,1,171,0.1,0.5,100,2.60277725175404e+124,1
100,1,172,0.1,0.5,100,1.62075601783201e+142,1
100,1,173,0.1,0.5,100,5.2957851471441e+106,1
100,1,174,0.1,0.5,100,1.47249854089018e+153,1
100,1,175,0.1,0.5,100,4.91928468834725e+158,1
100,1,176,0.1,0.5,100,2.68029433810664e+131,1
100,1,177,0.1,0.5,100,3.36129662244991e+168,1
100,1,178,0.1,0.5,100,4.56487799643768e+110,1
100,1,179,0.1,0.5,100,9.4785293604698e+125,1
100,1,180,0.1,0.5,100,9.75966854539685e+118,1
100,1,181,0.1,0.5,100,1.45462482019116e+191,1
100,1,182,0.1,0.5,100,4.5676315605224e+154,1
100,1,183,0.1,0.5,100,2.39275558494349e+159,1
