Method,n_obs,d,mu_norm,equal_space_mu,B,sim,alpha,p_0,time_sec
"Full oracle, d-dim",100,3,0,0,100,6,0.1,0.5,69.421
"Full oracle, d-dim",100,3,5,0,100,6,0.1,0.5,69.7890000000001
"Full oracle, d-dim",100,3,10,0,100,6,0.1,0.5,73.818
"Full oracle, d-dim",100,3,0,0,100,7,0.1,0.5,68.657
"Full oracle, d-dim",100,3,5,0,100,7,0.1,0.5,68.436
"Full oracle, d-dim",100,3,10,0,100,7,0.1,0.5,64.355
"Full oracle, d-dim",100,3,0,0,100,8,0.1,0.5,67.572
"Full oracle, d-dim",100,3,5,0,100,8,0.1,0.5,74.937
"Full oracle, d-dim",100,3,10,0,100,8,0.1,0.5,75.6
"Full oracle, d-dim",100,3,0,0,100,9,0.1,0.5,76.002
"Full oracle, d-dim",100,3,5,0,100,9,0.1,0.5,70.066
"Full oracle, d-dim",100,3,10,0,100,9,0.1,0.5,77.265
"Full oracle, d-dim",100,3,0,0,100,10,0.1,0.5,69.856
"Full oracle, d-dim",100,3,5,0,100,10,0.1,0.5,77.3620000000001
"Full oracle, d-dim",100,3,10,0,100,10,0.1,0.5,80.394
"Full oracle, d-dim",100,4,0,0,100,1,0.1,0.5,311.734
"Full oracle, d-dim",100,4,5,0,100,1,0.1,0.5,320.865
"Full oracle, d-dim",100,4,10,0,100,1,0.1,0.5,336.41
"Full oracle, d-dim",100,4,0,0,100,2,0.1,0.5,269.408
"Full oracle, d-dim",100,4,5,0,100,2,0.1,0.5,357.377
"Full oracle, d-dim",100,4,10,0,100,2,0.1,0.5,359.725
"Full oracle, d-dim",100,4,0,0,100,3,0.1,0.5,304.702
"Full oracle, d-dim",100,4,5,0,100,3,0.1,0.5,329.137
"Full oracle, d-dim",100,4,10,0,100,3,0.1,0.5,335.134
"Full oracle, d-dim",100,4,0,0,100,4,0.1,0.5,272.416
"Full oracle, d-dim",100,4,5,0,100,4,0.1,0.5,330.71
"Full oracle, d-dim",100,4,10,0,100,4,0.1,0.5,311.679
"Full oracle, d-dim",100,4,0,0,100,5,0.1,0.5,318.241
"Full oracle, d-dim",100,4,5,0,100,5,0.1,0.5,438.687
"Full oracle, d-dim",100,4,10,0,100,5,0.1,0.5,343.937
"Full oracle, d-dim",100,4,0,0,100,6,0.1,0.5,295.738
"Full oracle, d-dim",100,4,5,0,100,6,0.1,0.5,330.322
"Full oracle, d-dim",100,4,10,0,100,6,0.1,0.5,347.317
"Full oracle, d-dim",100,4,0,0,100,7,0.1,0.5,308.063
"Full oracle, d-dim",100,4,5,0,100,7,0.1,0.5,317.044
"Full oracle, d-dim",100,4,10,0,100,7,0.1,0.5,371.538
"Full oracle, d-dim",100,4,0,0,100,8,0.1,0.5,291.114
"Full oracle, d-dim",100,4,5,0,100,8,0.1,0.5,277.984
"Full oracle, d-dim",100,4,10,0,100,8,0.1,0.5,327.63
"Full oracle, d-dim",100,4,0,0,100,9,0.1,0.5,290.681
"Full oracle, d-dim",100,4,5,0,100,9,0.1,0.5,343.587
"Full oracle, d-dim",100,4,10,0,100,9,0.1,0.5,331.03
"Full oracle, d-dim",100,4,0,0,100,10,0.1,0.5,289.034
"Full oracle, d-dim",100,4,5,0,100,10,0.1,0.5,374.83
"Full oracle, d-dim",100,4,10,0,100,10,0.1,0.5,299.593
