n_obs,d,sim,alpha_param,beta_param,B,test_stat,reject
100,1,96,0.1,0.5,100,3.08052979755313e+52,1
100,1,97,0.1,0.5,100,1.52509425971889e+57,1
100,1,98,0.1,0.5,100,1.17493295412437e+61,1
100,1,99,0.1,0.5,100,4.52038034894372e+71,1
100,1,100,0.1,0.5,100,1.53313329177688e+71,1
100,1,101,0.1,0.5,100,4.43803598048286e+63,1
100,1,102,0.1,0.5,100,7.64844886861472e+62,1
100,1,103,0.1,0.5,100,5.52385478831369e+58,1
100,1,104,0.1,0.5,100,2.16978765032851e+68,1
100,1,105,0.1,0.5,100,7.21930322745772e+53,1
100,1,106,0.1,0.5,100,7.62693019480999e+67,1
100,1,107,0.1,0.5,100,6.13849528516067e+68,1
100,1,108,0.1,0.5,100,4.05790732472535e+68,1
100,1,109,0.1,0.5,100,2.4596221559067e+54,1
100,1,110,0.1,0.5,100,4.03371342809638e+51,1
100,1,111,0.1,0.5,100,1.72960613481522e+54,1
100,1,112,0.1,0.5,100,3.36338820865106e+74,1
100,1,113,0.1,0.5,100,6.87606287296029e+42,1
100,1,114,0.1,0.5,100,4.98817551603574e+49,1
100,1,115,0.1,0.5,100,6.45150393135892e+58,1
100,1,116,0.1,0.5,100,1.659833483151e+63,1
100,1,117,0.1,0.5,100,1.12385490784116e+52,1
100,1,118,0.1,0.5,100,1.62261543356841e+53,1
100,1,119,0.1,0.5,100,4.63427554812587e+64,1
100,1,120,0.1,0.5,100,5.87415984809925e+64,1
100,1,121,0.1,0.5,100,9.84193407434391e+50,1
100,1,122,0.1,0.5,100,2.29200156164221e+60,1
100,1,123,0.1,0.5,100,5.75145613154967e+67,1
100,1,124,0.1,0.5,100,4.76857983047021e+79,1
100,1,125,0.1,0.5,100,1.31168978994134e+56,1
100,1,126,0.1,0.5,100,1.13993154736154e+68,1
100,1,127,0.1,0.5,100,8.81696056172072e+60,1
100,1,128,0.1,0.5,100,3.72518755257853e+58,1
100,1,129,0.1,0.5,100,5.14788452090102e+74,1
100,1,130,0.1,0.5,100,5.32757763719301e+60,1
100,1,131,0.1,0.5,100,7.35308753002789e+58,1
100,1,132,0.1,0.5,100,3.41519562293698e+50,1
100,1,133,0.1,0.5,100,1.29898870594659e+55,1
100,1,134,0.1,0.5,100,1.29014326716199e+68,1
100,1,135,0.1,0.5,100,2.9629905214332e+61,1
100,1,136,0.1,0.5,100,2.99362599209559e+62,1
100,1,137,0.1,0.5,100,3.73069239264174e+64,1
100,1,138,0.1,0.5,100,3.3179655634908e+56,1
100,1,139,0.1,0.5,100,1.66180701927624e+48,1
100,1,140,0.1,0.5,100,8.14072327781095e+50,1
100,1,141,0.1,0.5,100,4.19960263448407e+58,1
100,1,142,0.1,0.5,100,2.05187367199213e+58,1
100,1,143,0.1,0.5,100,1.43413011269636e+50,1
100,1,144,0.1,0.5,100,1.77929836274052e+57,1
100,1,145,0.1,0.5,100,4.05266371133707e+68,1
100,1,146,0.1,0.5,100,2.70120092681859e+70,1
100,1,147,0.1,0.5,100,2.02173273148597e+53,1
100,1,148,0.1,0.5,100,7.1755877381627e+65,1
100,1,149,0.1,0.5,100,9.77334481915816e+58,1
100,1,150,0.1,0.5,100,7.46943637437252e+56,1
100,1,151,0.1,0.5,100,4.74509598387492e+67,1
100,1,152,0.1,0.5,100,2.94549828665561e+65,1
100,1,153,0.1,0.5,100,2.74069943971105e+66,1
100,1,154,0.1,0.5,100,9.92890869719231e+65,1
100,1,155,0.1,0.5,100,2.62523735991389e+56,1
100,1,156,0.1,0.5,100,2.69623913936326e+64,1
100,1,157,0.1,0.5,100,2.42339007583908e+67,1
100,1,158,0.1,0.5,100,1.24439752917296e+75,1
100,1,159,0.1,0.5,100,7.78223908428392e+72,1
100,1,160,0.1,0.5,100,2.97904257747432e+70,1
100,1,161,0.1,0.5,100,4.67653439845955e+61,1
100,1,162,0.1,0.5,100,8.70278216660645e+72,1
100,1,163,0.1,0.5,100,7.31146169707123e+59,1
100,1,164,0.1,0.5,100,1.26089772714829e+54,1
100,1,165,0.1,0.5,100,2.27981473557382e+54,1
100,1,166,0.1,0.5,100,6.34052066707253e+60,1
100,1,167,0.1,0.5,100,6.37561581655255e+58,1
100,1,168,0.1,0.5,100,1.14088410025532e+72,1
100,1,169,0.1,0.5,100,1.92800738478582e+64,1
100,1,170,0.1,0.5,100,5.02680917630691e+70,1
100,1,171,0.1,0.5,100,3.50295426201871e+55,1
100,1,172,0.1,0.5,100,3.52386619834736e+56,1
100,1,173,0.1,0.5,100,1.60317832703093e+57,1
100,1,174,0.1,0.5,100,1.5872617331861e+61,1
100,1,175,0.1,0.5,100,1.08813868494265e+47,1
100,1,176,0.1,0.5,100,6.42066414555988e+66,1
100,1,177,0.1,0.5,100,1.00326403219938e+75,1
100,1,178,0.1,0.5,100,1.24718334844916e+57,1
100,1,179,0.1,0.5,100,3.74300096359941e+58,1
100,1,180,0.1,0.5,100,3.28933993869538e+66,1
100,1,181,0.1,0.5,100,7.53802767158765e+71,1
100,1,182,0.1,0.5,100,7.92599697535901e+58,1
100,1,183,0.1,0.5,100,9.94526298020957e+50,1
100,1,184,0.1,0.5,100,1.23629608460737e+64,1
100,1,185,0.1,0.5,100,1.46154733056961e+67,1
100,1,186,0.1,0.5,100,2.23160891447295e+63,1
100,1,187,0.1,0.5,100,5.89940355587829e+59,1
100,1,188,0.1,0.5,100,3.80455336213984e+55,1
100,1,189,0.1,0.5,100,1.59727623798091e+54,1
100,1,190,0.1,0.5,100,2.93493355645372e+65,1
100,1,191,0.1,0.5,100,1.1266025170893e+60,1
100,1,192,0.1,0.5,100,3.95799413916241e+52,1
100,1,193,0.1,0.5,100,2.64449979225186e+52,1
100,1,194,0.1,0.5,100,8.02568246718973e+52,1
100,1,195,0.1,0.5,100,1.61860283114161e+49,1
100,1,196,0.1,0.5,100,8.46993029016001e+53,1
100,1,197,0.1,0.5,100,3.01912225664966e+51,1
100,1,198,0.1,0.5,100,8.50255385227707e+65,1
100,1,199,0.1,0.5,100,1.62068181834653e+52,1
100,1,200,0.1,0.5,100,1.17043817719529e+72,1
100,1,1,0.2,0.5,100,9.97302793677242e+28,1
100,1,2,0.2,0.5,100,9.23047316838628e+21,1
100,1,3,0.2,0.5,100,4.3954733543343e+29,1
100,1,4,0.2,0.5,100,4.84888673149805e+40,1
100,1,5,0.2,0.5,100,1.07894779235259e+22,1
100,1,6,0.2,0.5,100,2.34134145093611e+42,1
100,1,7,0.2,0.5,100,1.09101643876145e+21,1
100,1,8,0.2,0.5,100,2.76104415357945e+27,1
100,1,9,0.2,0.5,100,6.15360118150118e+33,1
100,1,10,0.2,0.5,100,8.03482172906031e+25,1
100,1,11,0.2,0.5,100,2.57629956089199e+23,1
100,1,12,0.2,0.5,100,3.61428090609805e+28,1
100,1,13,0.2,0.5,100,1.55194992249731e+21,1
100,1,14,0.2,0.5,100,6.54924871337538e+31,1
100,1,15,0.2,0.5,100,1.79202296924493e+38,1
100,1,16,0.2,0.5,100,4.14525175897193e+32,1
100,1,17,0.2,0.5,100,2.26741966056956e+31,1
100,1,18,0.2,0.5,100,11175172388247900000,1
100,1,19,0.2,0.5,100,1.37776938337212e+32,1
100,1,20,0.2,0.5,100,1.18751250323109e+21,1
100,1,21,0.2,0.5,100,2.24905989181236e+40,1
100,1,22,0.2,0.5,100,3.96579537901589e+34,1
100,1,23,0.2,0.5,100,2.90867349445444e+24,1
100,1,24,0.2,0.5,100,9.20404742269966e+30,1
100,1,25,0.2,0.5,100,7.57993722135331e+22,1
100,1,26,0.2,0.5,100,2.79317688343344e+25,1
100,1,27,0.2,0.5,100,5.69742966751738e+39,1
100,1,28,0.2,0.5,100,1.66522204851976e+29,1
100,1,29,0.2,0.5,100,9.33274883758336e+32,1
100,1,30,0.2,0.5,100,1.85523609234964e+21,1
100,1,31,0.2,0.5,100,2.27671940259015e+26,1
100,1,32,0.2,0.5,100,3.0994066132622e+27,1
100,1,33,0.2,0.5,100,3.46061292828956e+32,1
100,1,34,0.2,0.5,100,1.6032298275196e+24,1
