Method,n_obs,d,mu_norm,equal_space_mu,B,sim,alpha,p_0,time_sec
"Partial oracle, d-dim",100,3,5,0,100,5,0.1,0.5,71.76
"Partial oracle, d-dim",100,3,10,0,100,5,0.1,0.5,72.662
"Partial oracle, d-dim",100,3,0,0,100,6,0.1,0.5,70.462
"Partial oracle, d-dim",100,3,5,0,100,6,0.1,0.5,74.415
"Partial oracle, d-dim",100,3,10,0,100,6,0.1,0.5,77.566
"Partial oracle, d-dim",100,3,0,0,100,7,0.1,0.5,71.288
"Partial oracle, d-dim",100,3,5,0,100,7,0.1,0.5,78.415
"Partial oracle, d-dim",100,3,10,0,100,7,0.1,0.5,72.4789999999999
"Partial oracle, d-dim",100,3,0,0,100,8,0.1,0.5,71.633
"Partial oracle, d-dim",100,3,5,0,100,8,0.1,0.5,72.1329999999999
"Partial oracle, d-dim",100,3,10,0,100,8,0.1,0.5,70.547
"Partial oracle, d-dim",100,3,0,0,100,9,0.1,0.5,74.019
"Partial oracle, d-dim",100,3,5,0,100,9,0.1,0.5,77.8539999999999
"Partial oracle, d-dim",100,3,10,0,100,9,0.1,0.5,76.948
"Partial oracle, d-dim",100,3,0,0,100,10,0.1,0.5,67.798
"Partial oracle, d-dim",100,3,5,0,100,10,0.1,0.5,70.843
"Partial oracle, d-dim",100,3,10,0,100,10,0.1,0.5,74.386
"Partial oracle, d-dim",100,4,0,0,100,1,0.1,0.5,290.073
"Partial oracle, d-dim",100,4,5,0,100,1,0.1,0.5,320.064
"Partial oracle, d-dim",100,4,10,0,100,1,0.1,0.5,414.028
"Partial oracle, d-dim",100,4,0,0,100,2,0.1,0.5,354.095
"Partial oracle, d-dim",100,4,5,0,100,2,0.1,0.5,337.056
"Partial oracle, d-dim",100,4,10,0,100,2,0.1,0.5,328.92
"Partial oracle, d-dim",100,4,0,0,100,3,0.1,0.5,298.136
"Partial oracle, d-dim",100,4,5,0,100,3,0.1,0.5,305.171
"Partial oracle, d-dim",100,4,10,0,100,3,0.1,0.5,349.286
"Partial oracle, d-dim",100,4,0,0,100,4,0.1,0.5,312.568
"Partial oracle, d-dim",100,4,5,0,100,4,0.1,0.5,357.844
"Partial oracle, d-dim",100,4,10,0,100,4,0.1,0.5,346.211
"Partial oracle, d-dim",100,4,0,0,100,5,0.1,0.5,297.246
"Partial oracle, d-dim",100,4,5,0,100,5,0.1,0.5,362.851
"Partial oracle, d-dim",100,4,10,0,100,5,0.1,0.5,349.144
"Partial oracle, d-dim",100,4,0,0,100,6,0.1,0.5,278.753
"Partial oracle, d-dim",100,4,5,0,100,6,0.1,0.5,299.396
"Partial oracle, d-dim",100,4,10,0,100,6,0.1,0.5,352.853
"Partial oracle, d-dim",100,4,0,0,100,7,0.1,0.5,298.399
"Partial oracle, d-dim",100,4,5,0,100,7,0.1,0.5,302.324
"Partial oracle, d-dim",100,4,10,0,100,7,0.1,0.5,315.109
"Partial oracle, d-dim",100,4,0,0,100,8,0.1,0.5,293.061
"Partial oracle, d-dim",100,4,5,0,100,8,0.1,0.5,305.453
"Partial oracle, d-dim",100,4,10,0,100,8,0.1,0.5,315.95
"Partial oracle, d-dim",100,4,0,0,100,9,0.1,0.5,310.966
"Partial oracle, d-dim",100,4,5,0,100,9,0.1,0.5,321.099
"Partial oracle, d-dim",100,4,10,0,100,9,0.1,0.5,340.411
"Partial oracle, d-dim",100,4,0,0,100,10,0.1,0.5,286.952
"Partial oracle, d-dim",100,4,5,0,100,10,0.1,0.5,356.237
"Partial oracle, d-dim",100,4,10,0,100,10,0.1,0.5,383.961
