n_obs,d,sigma,B,sim,alpha,p_0,test_stat,reject
400,2,1.73205080756888,100,1,0.1,0.5,1.37019788848535e-10,0
400,2,1.73205080756888,100,2,0.1,0.5,2.95829762439544e-10,0
400,2,1.73205080756888,100,3,0.1,0.5,4.64850791489363e-11,0
400,2,1.73205080756888,100,4,0.1,0.5,3.32998785264268e-10,0
400,2,1.73205080756888,100,5,0.1,0.5,1.49406876026998e-10,0
400,2,1.73205080756888,100,6,0.1,0.5,1.57555310127657e-10,0
400,2,1.73205080756888,100,7,0.1,0.5,1.71070858270866e-10,0
400,2,1.73205080756888,100,8,0.1,0.5,5.10693383182629e-12,0
400,2,1.73205080756888,100,9,0.1,0.5,1.556299314652e-10,0
400,2,1.73205080756888,100,10,0.1,0.5,2.90212802755675e-12,0
400,2,1.73205080756888,100,11,0.1,0.5,2.85630886488771e-10,0
400,2,1.73205080756888,100,12,0.1,0.5,6.42670287956584e-11,0
400,2,1.73205080756888,100,13,0.1,0.5,1.43381997879527e-10,0
400,2,1.73205080756888,100,14,0.1,0.5,2.21458123740112e-11,0
400,2,1.73205080756888,100,15,0.1,0.5,9.88000997958818e-12,0
400,2,1.73205080756888,100,16,0.1,0.5,4.20961600459371e-12,0
400,2,1.73205080756888,100,17,0.1,0.5,3.23276613500201e-11,0
400,2,1.73205080756888,100,18,0.1,0.5,1.75898878058092e-11,0
400,2,1.73205080756888,100,19,0.1,0.5,2.31566842984293e-10,0
400,2,1.73205080756888,100,20,0.1,0.5,2.18303687835849e-10,0
400,2,1.73205080756888,100,21,0.1,0.5,2.77053671762051e-11,0
400,2,1.73205080756888,100,22,0.1,0.5,3.76688567239298e-12,0
400,2,1.73205080756888,100,23,0.1,0.5,1.07886988541697e-10,0
400,2,1.73205080756888,100,24,0.1,0.5,8.7718665672994e-11,0
400,2,1.73205080756888,100,25,0.1,0.5,2.53776495008465e-11,0
400,2,1.73205080756888,100,26,0.1,0.5,4.02609853493728e-10,0
400,2,1.73205080756888,100,27,0.1,0.5,2.61590552020436e-11,0
400,2,1.73205080756888,100,28,0.1,0.5,5.87759044112016e-10,0
400,2,1.73205080756888,100,29,0.1,0.5,3.95591724386669e-10,0
400,2,1.73205080756888,100,30,0.1,0.5,1.17492472273003e-10,0
400,2,1.73205080756888,100,31,0.1,0.5,6.4398991557163e-12,0
400,2,1.73205080756888,100,32,0.1,0.5,1.2767148532285e-10,0
400,2,1.73205080756888,100,33,0.1,0.5,2.35208829055645e-10,0
400,2,1.73205080756888,100,34,0.1,0.5,2.82273618555446e-11,0
400,2,1.73205080756888,100,35,0.1,0.5,2.54537118122777e-10,0
400,2,1.73205080756888,100,36,0.1,0.5,3.1036752765344e-10,0
400,2,1.73205080756888,100,37,0.1,0.5,5.67574309055364e-10,0
400,2,1.73205080756888,100,38,0.1,0.5,7.19978887455172e-11,0
400,2,1.73205080756888,100,39,0.1,0.5,1.92742826683472e-10,0
400,2,1.73205080756888,100,40,0.1,0.5,8.13094162746104e-12,0
400,2,1.73205080756888,100,41,0.1,0.5,2.17627889649389e-11,0
400,2,1.73205080756888,100,42,0.1,0.5,1.10587762235931e-10,0
400,2,1.73205080756888,100,43,0.1,0.5,1.25662765069602e-10,0
400,2,1.73205080756888,100,44,0.1,0.5,2.66020899057393e-11,0
400,2,1.73205080756888,100,45,0.1,0.5,2.29953619696113e-12,0
400,2,1.73205080756888,100,46,0.1,0.5,7.04290293531685e-11,0
400,2,1.73205080756888,100,47,0.1,0.5,4.19778081792139e-11,0
400,2,1.73205080756888,100,48,0.1,0.5,8.02341498338898e-12,0
400,2,1.73205080756888,100,49,0.1,0.5,9.68544887082689e-11,0
400,2,1.73205080756888,100,50,0.1,0.5,6.16415255543868e-10,0
400,2,1.73205080756888,100,51,0.1,0.5,4.68534368865826e-12,0
400,2,1.73205080756888,100,52,0.1,0.5,3.4089594012968e-11,0
400,2,1.73205080756888,100,53,0.1,0.5,3.28781986642169e-11,0
400,2,1.73205080756888,100,54,0.1,0.5,8.69177189626649e-12,0
400,2,1.73205080756888,100,55,0.1,0.5,5.25430156469064e-11,0
400,2,1.73205080756888,100,56,0.1,0.5,1.4863182512651e-09,0
400,2,1.73205080756888,100,57,0.1,0.5,4.86269169804174e-10,0
400,2,1.73205080756888,100,58,0.1,0.5,1.66404453159219e-11,0
400,2,1.73205080756888,100,59,0.1,0.5,8.86596159935702e-11,0
400,2,1.73205080756888,100,60,0.1,0.5,6.83399223468909e-12,0
400,2,1.73205080756888,100,61,0.1,0.5,2.09464903848331e-09,0
400,2,1.73205080756888,100,62,0.1,0.5,7.74250242373121e-10,0
400,2,1.73205080756888,100,63,0.1,0.5,3.54028527573277e-11,0
400,2,1.73205080756888,100,64,0.1,0.5,1.10053417480251e-10,0
400,2,1.73205080756888,100,65,0.1,0.5,7.18506316451946e-10,0
400,2,1.73205080756888,100,66,0.1,0.5,9.5189555992506e-12,0
400,2,1.73205080756888,100,67,0.1,0.5,1.52544975379719e-10,0
400,2,1.73205080756888,100,68,0.1,0.5,1.9372655448409,0
400,2,1.73205080756888,100,69,0.1,0.5,3.74518432815809e-11,0
400,2,1.73205080756888,100,70,0.1,0.5,6.70296937733612e-11,0
400,2,1.73205080756888,100,71,0.1,0.5,8.73455382156525e-12,0
400,2,1.73205080756888,100,72,0.1,0.5,1.38800701158345e-11,0
400,2,1.73205080756888,100,73,0.1,0.5,1.21250722873426e-11,0
400,2,1.73205080756888,100,74,0.1,0.5,1.98082247651889e-11,0
400,2,1.73205080756888,100,75,0.1,0.5,5.95010100125223e-12,0
400,2,1.73205080756888,100,76,0.1,0.5,1.35940807443261e-11,0
400,2,1.73205080756888,100,77,0.1,0.5,6.1699967073666e+26,1
400,2,1.73205080756888,100,78,0.1,0.5,1.38259229227348e-10,0
400,2,1.73205080756888,100,79,0.1,0.5,2.62324640152251e-10,0
400,2,1.73205080756888,100,80,0.1,0.5,1.28502966397459e+164,1
400,2,1.73205080756888,100,81,0.1,0.5,4.69169959803689e-10,0
400,2,1.73205080756888,100,82,0.1,0.5,8.82258201941256e-11,0
400,2,1.73205080756888,100,83,0.1,0.5,4.23426674067713e-10,0
400,2,1.73205080756888,100,84,0.1,0.5,1.67759459921339e-10,0
400,2,1.73205080756888,100,85,0.1,0.5,1.65425285756508e-10,0
400,2,1.73205080756888,100,86,0.1,0.5,7.86646805211377e-10,0
400,2,1.73205080756888,100,87,0.1,0.5,6.74345678323011e-11,0
400,2,1.73205080756888,100,88,0.1,0.5,2.5956916787224e-10,0
400,2,1.73205080756888,100,89,0.1,0.5,3.23585526633636e-10,0
400,2,1.73205080756888,100,90,0.1,0.5,2.34847376938965e-12,0
400,2,1.73205080756888,100,91,0.1,0.5,1.26076611174946e-09,0
400,2,1.73205080756888,100,92,0.1,0.5,2.28758104557455e-11,0
400,2,1.73205080756888,100,93,0.1,0.5,2.41761997979489e-11,0
400,2,1.73205080756888,100,94,0.1,0.5,1.20741232086563e-12,0
400,2,1.73205080756888,100,95,0.1,0.5,1.50186002423191e-09,0
400,2,1.73205080756888,100,96,0.1,0.5,2.16252412637759e-12,0
400,2,1.73205080756888,100,97,0.1,0.5,2.67372560721464e-11,0
400,2,1.73205080756888,100,98,0.1,0.5,1.56194268190197e-10,0
400,2,1.73205080756888,100,99,0.1,0.5,2.96291773611905e-11,0
400,2,1.73205080756888,100,100,0.1,0.5,4.78337789939342e-10,0
400,2,1.73205080756888,100,101,0.1,0.5,6.85292822753474e-10,0
400,2,1.73205080756888,100,102,0.1,0.5,4.7380770152939e-11,0
400,2,1.73205080756888,100,103,0.1,0.5,2.14746348994284e-10,0
400,2,1.73205080756888,100,104,0.1,0.5,1.24727051529684e-10,0
400,2,1.73205080756888,100,105,0.1,0.5,1.71664996649911e-10,0
400,2,1.73205080756888,100,106,0.1,0.5,5.5812595608312e-11,0
400,2,1.73205080756888,100,107,0.1,0.5,1.17692335998832e-10,0
400,2,1.73205080756888,100,108,0.1,0.5,2.140785738187e-10,0
400,2,1.73205080756888,100,109,0.1,0.5,1.01594921162363e-11,0
400,2,1.73205080756888,100,110,0.1,0.5,4.10016285856634e-11,0
400,2,1.73205080756888,100,111,0.1,0.5,1.51357127076509e-10,0
400,2,1.73205080756888,100,112,0.1,0.5,1.14511477226939e-10,0
400,2,1.73205080756888,100,113,0.1,0.5,5.2795080957718e-11,0
400,2,1.73205080756888,100,114,0.1,0.5,5.17529198820149e-11,0
400,2,1.73205080756888,100,115,0.1,0.5,1.69136928942506e-10,0
400,2,1.73205080756888,100,116,0.1,0.5,1.95839499296448e-10,0
400,2,1.73205080756888,100,117,0.1,0.5,6.76657916034444e-10,0
