n_obs,d,sigma,B,sim,alpha,p_0,test_stat,reject
600,2,1.73205080756888,100,1,0.1,0.5,4.65463371735462e-07,0
600,2,1.73205080756888,100,2,0.1,0.5,1.16366812810393e-06,0
600,2,1.73205080756888,100,3,0.1,0.5,14046217194714.7,1
600,2,1.73205080756888,100,4,0.1,0.5,1.5712777691857e-06,0
600,2,1.73205080756888,100,5,0.1,0.5,2.97718565693614e-06,0
600,2,1.73205080756888,100,6,0.1,0.5,2.67080207250576e-05,0
600,2,1.73205080756888,100,7,0.1,0.5,102888490826615,1
600,2,1.73205080756888,100,8,0.1,0.5,8.440555426399e-08,0
600,2,1.73205080756888,100,9,0.1,0.5,7.51634532461582e-08,0
600,2,1.73205080756888,100,10,0.1,0.5,65355896.7804804,1
600,2,1.73205080756888,100,11,0.1,0.5,1.12192836475272e-06,0
600,2,1.73205080756888,100,12,0.1,0.5,5.78803420682583e+21,1
600,2,1.73205080756888,100,13,0.1,0.5,5.90127722528133e-08,0
600,2,1.73205080756888,100,14,0.1,0.5,0.00191495571061447,0
600,2,1.73205080756888,100,15,0.1,0.5,4.49645705338504e-07,0
600,2,1.73205080756888,100,16,0.1,0.5,6.40304493761881e-06,0
600,2,1.73205080756888,100,17,0.1,0.5,1.53635055849481e-07,0
600,2,1.73205080756888,100,18,0.1,0.5,1.92073624031909e-05,0
600,2,1.73205080756888,100,19,0.1,0.5,3.61232441524249e-07,0
600,2,1.73205080756888,100,20,0.1,0.5,3.54840957592373e-08,0
600,2,1.73205080756888,100,21,0.1,0.5,8.49574251800615e-09,0
600,2,1.73205080756888,100,22,0.1,0.5,1.8105900707118e-06,0
600,2,1.73205080756888,100,23,0.1,0.5,1.80416627214223e-06,0
600,2,1.73205080756888,100,24,0.1,0.5,3.34130548039521e-07,0
600,2,1.73205080756888,100,25,0.1,0.5,1.28728335790924e-05,0
600,2,1.73205080756888,100,26,0.1,0.5,1.49289480437637e-07,0
600,2,1.73205080756888,100,27,0.1,0.5,1.8609840089109e-06,0
600,2,1.73205080756888,100,28,0.1,0.5,9.42490082889003e-07,0
600,2,1.73205080756888,100,29,0.1,0.5,1.10893852152599e-07,0
600,2,1.73205080756888,100,30,0.1,0.5,2.37698527494591e-07,0
600,2,1.73205080756888,100,31,0.1,0.5,5.92645758859967e-07,0
600,2,1.73205080756888,100,32,0.1,0.5,1.8745665666962e-07,0
600,2,1.73205080756888,100,33,0.1,0.5,5.0593193213716e-06,0
600,2,1.73205080756888,100,34,0.1,0.5,6.74887743375003e-06,0
600,2,1.73205080756888,100,35,0.1,0.5,Inf,1
600,2,1.73205080756888,100,36,0.1,0.5,1.18022667630109e-07,0
600,2,1.73205080756888,100,37,0.1,0.5,2.36822671987194e-07,0
600,2,1.73205080756888,100,38,0.1,0.5,3.00458189536667e-07,0
600,2,1.73205080756888,100,39,0.1,0.5,2.04956185296642e-07,0
600,2,1.73205080756888,100,40,0.1,0.5,2.20709652932769e-05,0
600,2,1.73205080756888,100,41,0.1,0.5,1.56743797608957e-07,0
600,2,1.73205080756888,100,42,0.1,0.5,5.34533468926124e-07,0
600,2,1.73205080756888,100,43,0.1,0.5,5.17912229057296e-07,0
600,2,1.73205080756888,100,44,0.1,0.5,3.05526070731831e-07,0
600,2,1.73205080756888,100,45,0.1,0.5,2.29185197787699e-06,0
600,2,1.73205080756888,100,46,0.1,0.5,1.99737229991227e-07,0
600,2,1.73205080756888,100,47,0.1,0.5,2.27974630778619e-08,0
600,2,1.73205080756888,100,48,0.1,0.5,1.16699599617963e-06,0
600,2,1.73205080756888,100,49,0.1,0.5,9.64976894657886e-08,0
600,2,1.73205080756888,100,50,0.1,0.5,4.89558431419711e-06,0
600,2,1.73205080756888,100,51,0.1,0.5,5.64291997821321e-06,0
600,2,1.73205080756888,100,52,0.1,0.5,6.05533220469322e-08,0
600,2,1.73205080756888,100,53,0.1,0.5,0.00023646787112033,0
600,2,1.73205080756888,100,54,0.1,0.5,4.87288642549569e-06,0
600,2,1.73205080756888,100,55,0.1,0.5,1.16191206961719e-07,0
600,2,1.73205080756888,100,56,0.1,0.5,1.37224598830582e-06,0
600,2,1.73205080756888,100,57,0.1,0.5,1.09247923190783e-07,0
600,2,1.73205080756888,100,58,0.1,0.5,2.83527991028935e-07,0
600,2,1.73205080756888,100,59,0.1,0.5,2.87554309215273e-05,0
600,2,1.73205080756888,100,60,0.1,0.5,0.00106207888794103,0
600,2,1.73205080756888,100,61,0.1,0.5,9.63850702033705e-06,0
600,2,1.73205080756888,100,62,0.1,0.5,1.61310690835357e-06,0
600,2,1.73205080756888,100,63,0.1,0.5,187.916223467684,1
600,2,1.73205080756888,100,64,0.1,0.5,26.4796392943481,1
600,2,1.73205080756888,100,65,0.1,0.5,3.22020225307092e-07,0
600,2,1.73205080756888,100,66,0.1,0.5,12334.9487811475,1
600,2,1.73205080756888,100,67,0.1,0.5,9.73267425758115e-06,0
600,2,1.73205080756888,100,68,0.1,0.5,7.65730609330771e+30,1
600,2,1.73205080756888,100,69,0.1,0.5,Inf,1
600,2,1.73205080756888,100,70,0.1,0.5,1.27104743622639e-05,0
600,2,1.73205080756888,100,71,0.1,0.5,1.78463141881113e-08,0
600,2,1.73205080756888,100,72,0.1,0.5,2.28775422960551e-06,0
600,2,1.73205080756888,100,73,0.1,0.5,1.24004132957026e-06,0
600,2,1.73205080756888,100,74,0.1,0.5,1.93710282802379e-06,0
600,2,1.73205080756888,100,75,0.1,0.5,4.15994431454003e-07,0
600,2,1.73205080756888,100,76,0.1,0.5,1.2078266353218e-07,0
600,2,1.73205080756888,100,77,0.1,0.5,0.000845239125423976,0
600,2,1.73205080756888,100,78,0.1,0.5,1.4455562683046e-06,0
600,2,1.73205080756888,100,79,0.1,0.5,7.14895429901888e-06,0
600,2,1.73205080756888,100,80,0.1,0.5,1.465261744497e-06,0
600,2,1.73205080756888,100,81,0.1,0.5,6.76531177437429e-07,0
600,2,1.73205080756888,100,82,0.1,0.5,0.000123416563530532,0
600,2,1.73205080756888,100,83,0.1,0.5,7.36396059236332e-07,0
600,2,1.73205080756888,100,84,0.1,0.5,6.002290769423e-08,0
600,2,1.73205080756888,100,85,0.1,0.5,3.02961687622342e-06,0
600,2,1.73205080756888,100,86,0.1,0.5,1.75705041378173e-06,0
600,2,1.73205080756888,100,87,0.1,0.5,1.62366181582156e-07,0
600,2,1.73205080756888,100,88,0.1,0.5,1.91915698506473e-06,0
600,2,1.73205080756888,100,89,0.1,0.5,5.50602864036914e-07,0
600,2,1.73205080756888,100,90,0.1,0.5,1.87612953203383e-08,0
600,2,1.73205080756888,100,91,0.1,0.5,5.22491814252021e-06,0
600,2,1.73205080756888,100,92,0.1,0.5,1.53378307984655e-07,0
600,2,1.73205080756888,100,93,0.1,0.5,3.74134395375053e-06,0
600,2,1.73205080756888,100,94,0.1,0.5,5.83997186698169e-07,0
600,2,1.73205080756888,100,95,0.1,0.5,4.71025067157125e-06,0
600,2,1.73205080756888,100,96,0.1,0.5,6.24581888850953e-09,0
600,2,1.73205080756888,100,97,0.1,0.5,4.11525085847435e-07,0
600,2,1.73205080756888,100,98,0.1,0.5,4.73777267061311e-07,0
600,2,1.73205080756888,100,99,0.1,0.5,3.31445494263206e-06,0
600,2,1.73205080756888,100,100,0.1,0.5,2.82440607090456e-06,0
600,2,1.73205080756888,100,101,0.1,0.5,1.3385129562086e-07,0
