n_obs,d,sigma,B,sim,alpha,p_0,test_stat,reject
500,2,1.73205080756888,100,1,0.1,0.5,6.88915584451858e-12,0
500,2,1.73205080756888,100,2,0.1,0.5,2.41959633580958e-14,0
500,2,1.73205080756888,100,3,0.1,0.5,9.20865207959809e-11,0
500,2,1.73205080756888,100,4,0.1,0.5,1.90688739841051e-12,0
500,2,1.73205080756888,100,5,0.1,0.5,2.39839117003858e-11,0
500,2,1.73205080756888,100,6,0.1,0.5,1.46941680472564e-11,0
500,2,1.73205080756888,100,7,0.1,0.5,4.1927955965816e-11,0
500,2,1.73205080756888,100,8,0.1,0.5,2.20093616507884e-10,0
500,2,1.73205080756888,100,9,0.1,0.5,7.23588601156137e-13,0
500,2,1.73205080756888,100,10,0.1,0.5,1.35696120374618e-10,0
500,2,1.73205080756888,100,11,0.1,0.5,2.89127403627982e-11,0
500,2,1.73205080756888,100,12,0.1,0.5,3.78339334512013e-12,0
500,2,1.73205080756888,100,13,0.1,0.5,2.08080737589325e-11,0
500,2,1.73205080756888,100,14,0.1,0.5,1.07053766128075e-12,0
500,2,1.73205080756888,100,15,0.1,0.5,1.54013848354782e-11,0
500,2,1.73205080756888,100,16,0.1,0.5,2.12711464703161e-11,0
500,2,1.73205080756888,100,17,0.1,0.5,2.7889305003124e-11,0
500,2,1.73205080756888,100,18,0.1,0.5,7.79797039776626e+80,1
500,2,1.73205080756888,100,19,0.1,0.5,9.52329284604977e-12,0
500,2,1.73205080756888,100,20,0.1,0.5,1.70379961625213e-10,0
500,2,1.73205080756888,100,21,0.1,0.5,3.745005280835e-12,0
500,2,1.73205080756888,100,22,0.1,0.5,1.31951387727974e-11,0
500,2,1.73205080756888,100,23,0.1,0.5,8.01356334649753e-12,0
500,2,1.73205080756888,100,24,0.1,0.5,3.95222113625315e-12,0
500,2,1.73205080756888,100,25,0.1,0.5,7.02237482038142e-11,0
500,2,1.73205080756888,100,26,0.1,0.5,5.76946018682395e-12,0
500,2,1.73205080756888,100,27,0.1,0.5,1.48100791062993e-10,0
500,2,1.73205080756888,100,28,0.1,0.5,8.77703412524508e-12,0
500,2,1.73205080756888,100,29,0.1,0.5,6.52320885220224e-12,0
500,2,1.73205080756888,100,30,0.1,0.5,3.43461407425758e-11,0
500,2,1.73205080756888,100,31,0.1,0.5,2.27798399948233e-10,0
500,2,1.73205080756888,100,32,0.1,0.5,2.3944681759919e-11,0
500,2,1.73205080756888,100,33,0.1,0.5,2.10378256468454e-10,0
500,2,1.73205080756888,100,34,0.1,0.5,Inf,1
500,2,1.73205080756888,100,35,0.1,0.5,3.47802090759175e-11,0
500,2,1.73205080756888,100,36,0.1,0.5,9.71574777719367e-12,0
500,2,1.73205080756888,100,37,0.1,0.5,2.33348308120183e-11,0
500,2,1.73205080756888,100,38,0.1,0.5,1.64256352096595e-10,0
500,2,1.73205080756888,100,39,0.1,0.5,6.45858742622851e-12,0
500,2,1.73205080756888,100,40,0.1,0.5,1.35404796525215e-11,0
500,2,1.73205080756888,100,41,0.1,0.5,4.4762612913923e-12,0
500,2,1.73205080756888,100,42,0.1,0.5,3.10825180366973e-10,0
500,2,1.73205080756888,100,43,0.1,0.5,9.03255125764587e-11,0
500,2,1.73205080756888,100,44,0.1,0.5,1.37160506703025e-11,0
500,2,1.73205080756888,100,45,0.1,0.5,5.99976211807602e-11,0
500,2,1.73205080756888,100,46,0.1,0.5,4.3982292370351e-12,0
500,2,1.73205080756888,100,47,0.1,0.5,3.13302425616573e-10,0
500,2,1.73205080756888,100,48,0.1,0.5,2.79251032754133e-12,0
500,2,1.73205080756888,100,49,0.1,0.5,1.35270004444351e-10,0
500,2,1.73205080756888,100,50,0.1,0.5,1.31271816330603e-11,0
500,2,1.73205080756888,100,51,0.1,0.5,3.21818514102371e-11,0
500,2,1.73205080756888,100,52,0.1,0.5,2.00542557540358e-13,0
500,2,1.73205080756888,100,53,0.1,0.5,1.11276552932154e-11,0
500,2,1.73205080756888,100,54,0.1,0.5,3.62684585909052e-11,0
500,2,1.73205080756888,100,55,0.1,0.5,3235225956977820,1
500,2,1.73205080756888,100,56,0.1,0.5,2.16425758455276e-11,0
500,2,1.73205080756888,100,57,0.1,0.5,2.65902618582817e-12,0
500,2,1.73205080756888,100,58,0.1,0.5,2.3348195405682e-11,0
500,2,1.73205080756888,100,59,0.1,0.5,2.08408566117422e-11,0
500,2,1.73205080756888,100,60,0.1,0.5,1.05768022604752e-10,0
500,2,1.73205080756888,100,61,0.1,0.5,3.2053721313541e-10,0
500,2,1.73205080756888,100,62,0.1,0.5,3.19730965103288e-10,0
500,2,1.73205080756888,100,63,0.1,0.5,6.56629238094278e-11,0
500,2,1.73205080756888,100,64,0.1,0.5,6.99866098982802e-11,0
500,2,1.73205080756888,100,65,0.1,0.5,1.53606502958812e-11,0
500,2,1.73205080756888,100,66,0.1,0.5,1.51253788558142e-11,0
500,2,1.73205080756888,100,67,0.1,0.5,3.36223944212116e-11,0
500,2,1.73205080756888,100,68,0.1,0.5,4.75307605219954e-11,0
500,2,1.73205080756888,100,69,0.1,0.5,4.98270119624991e-12,0
500,2,1.73205080756888,100,70,0.1,0.5,2.55752038795031e-10,0
500,2,1.73205080756888,100,71,0.1,0.5,1.50210930973365e-11,0
500,2,1.73205080756888,100,72,0.1,0.5,1.52144777886587e-11,0
500,2,1.73205080756888,100,73,0.1,0.5,4.99193907788398e-11,0
500,2,1.73205080756888,100,74,0.1,0.5,1.29013301826946e-12,0
500,2,1.73205080756888,100,75,0.1,0.5,9.14461027381496e-12,0
500,2,1.73205080756888,100,76,0.1,0.5,2.30640026204062e-11,0
500,2,1.73205080756888,100,77,0.1,0.5,6.51917892409239e-11,0
500,2,1.73205080756888,100,78,0.1,0.5,1.27814915867503e-11,0
500,2,1.73205080756888,100,79,0.1,0.5,1.53987396003377e-10,0
500,2,1.73205080756888,100,80,0.1,0.5,1.25725037023363e-12,0
500,2,1.73205080756888,100,81,0.1,0.5,5.19830311107635e-12,0
500,2,1.73205080756888,100,82,0.1,0.5,1.1691541986523e-11,0
500,2,1.73205080756888,100,83,0.1,0.5,2.7296571907592e-12,0
500,2,1.73205080756888,100,84,0.1,0.5,3.82384615820894e-10,0
500,2,1.73205080756888,100,85,0.1,0.5,9.42082155614505e-11,0
500,2,1.73205080756888,100,86,0.1,0.5,6.52103365717126e-11,0
500,2,1.73205080756888,100,87,0.1,0.5,1.09344840166884e-10,0
500,2,1.73205080756888,100,88,0.1,0.5,5.4819466574915e-13,0
500,2,1.73205080756888,100,89,0.1,0.5,7.89742705122419e-13,0
500,2,1.73205080756888,100,90,0.1,0.5,5.49979131174576e-13,0
500,2,1.73205080756888,100,91,0.1,0.5,1.36812806818683e-11,0
500,2,1.73205080756888,100,92,0.1,0.5,1.19880078438097e-12,0
500,2,1.73205080756888,100,93,0.1,0.5,1.61010435736521e-10,0
500,2,1.73205080756888,100,94,0.1,0.5,7.36856338280637e-11,0
500,2,1.73205080756888,100,95,0.1,0.5,4.57469782572704e-11,0
500,2,1.73205080756888,100,96,0.1,0.5,5.46957743678656e-12,0
500,2,1.73205080756888,100,97,0.1,0.5,3.30450814298736e-11,0
500,2,1.73205080756888,100,98,0.1,0.5,4.07713565897076e-10,0
500,2,1.73205080756888,100,99,0.1,0.5,4.75650632002223e-13,0
500,2,1.73205080756888,100,100,0.1,0.5,1.49183117140332e-11,0
500,2,1.73205080756888,100,101,0.1,0.5,1.59063596981384e-13,0
500,2,1.73205080756888,100,102,0.1,0.5,1.03234369955268e-11,0
500,2,1.73205080756888,100,103,0.1,0.5,6.3181385259775e-11,0
500,2,1.73205080756888,100,104,0.1,0.5,4.96567025807129e-12,0
500,2,1.73205080756888,100,105,0.1,0.5,3.96836429603688e-11,0
500,2,1.73205080756888,100,106,0.1,0.5,1.27760231875787e-11,0
500,2,1.73205080756888,100,107,0.1,0.5,3.68210282390024e-11,0
500,2,1.73205080756888,100,108,0.1,0.5,1.93485047593776e-12,0
500,2,1.73205080756888,100,109,0.1,0.5,1.04689684486255e-11,0
500,2,1.73205080756888,100,110,0.1,0.5,4.58330483614179e-13,0
500,2,1.73205080756888,100,111,0.1,0.5,8.43580452297327e-11,0
500,2,1.73205080756888,100,112,0.1,0.5,1.74708985535687e-12,0
500,2,1.73205080756888,100,113,0.1,0.5,1.69337694652622e-11,0
500,2,1.73205080756888,100,114,0.1,0.5,4.40895113421562e-11,0
500,2,1.73205080756888,100,115,0.1,0.5,4.20845358099284e-12,0
500,2,1.73205080756888,100,116,0.1,0.5,1.83028996941956e-11,0
500,2,1.73205080756888,100,117,0.1,0.5,3069658104.47099,1
500,2,1.73205080756888,100,118,0.1,0.5,8.60403993703558e+110,1
500,2,1.73205080756888,100,119,0.1,0.5,6.1535762053957e-12,0
500,2,1.73205080756888,100,120,0.1,0.5,2.22775256580532e-11,0
500,2,1.73205080756888,100,121,0.1,0.5,1.15193001347296e-11,0
500,2,1.73205080756888,100,122,0.1,0.5,1.34484203808657e-11,0
500,2,1.73205080756888,100,123,0.1,0.5,1.77724733147962e-11,0
500,2,1.73205080756888,100,124,0.1,0.5,2.01182496368615e-11,0
500,2,1.73205080756888,100,125,0.1,0.5,2.35001768631283e-13,0
500,2,1.73205080756888,100,126,0.1,0.5,2.30351885765256e-11,0
500,2,1.73205080756888,100,127,0.1,0.5,4.32423020929406e-11,0
500,2,1.73205080756888,100,128,0.1,0.5,2.43713321532727e-11,0
500,2,1.73205080756888,100,129,0.1,0.5,3.90813796033955e-13,0
500,2,1.73205080756888,100,130,0.1,0.5,1.72296722196913e-11,0
500,2,1.73205080756888,100,131,0.1,0.5,1.14963007002163e-11,0
500,2,1.73205080756888,100,132,0.1,0.5,3.81681823548084e-10,0
