n_obs,d,sigma,B,sim,alpha,p_0,test_stat,reject
200,2,1.73205080756888,100,1,0.1,0.5,3.12625532264889e-07,0
200,2,1.73205080756888,100,2,0.1,0.5,9.76587241020192e-08,0
200,2,1.73205080756888,100,3,0.1,0.5,0.000137986685868589,0
200,2,1.73205080756888,100,4,0.1,0.5,8.2073201686606e-08,0
200,2,1.73205080756888,100,5,0.1,0.5,1.41080718460858e-05,0
200,2,1.73205080756888,100,6,0.1,0.5,7.07979644551085e-07,0
200,2,1.73205080756888,100,7,0.1,0.5,3.5909728380844e-06,0
200,2,1.73205080756888,100,8,0.1,0.5,1.94428995254961e-05,0
200,2,1.73205080756888,100,9,0.1,0.5,1.23991051544101e-05,0
200,2,1.73205080756888,100,10,0.1,0.5,3.45525335838049e-06,0
200,2,1.73205080756888,100,11,0.1,0.5,4.62665944718269e-06,0
200,2,1.73205080756888,100,12,0.1,0.5,4.02956133783096e-05,0
200,2,1.73205080756888,100,13,0.1,0.5,5.21614475918477e-05,0
200,2,1.73205080756888,100,14,0.1,0.5,2.27480947188492e-06,0
200,2,1.73205080756888,100,15,0.1,0.5,1.8932458731005e-05,0
200,2,1.73205080756888,100,16,0.1,0.5,2.83718997731148e-06,0
200,2,1.73205080756888,100,17,0.1,0.5,6.55984451697887e-06,0
200,2,1.73205080756888,100,18,0.1,0.5,0.000232569407990379,0
200,2,1.73205080756888,100,19,0.1,0.5,6.02329520455706e-06,0
200,2,1.73205080756888,100,20,0.1,0.5,5.53427889159468e-06,0
200,2,1.73205080756888,100,21,0.1,0.5,8.46526369183396e-06,0
200,2,1.73205080756888,100,22,0.1,0.5,9.9838914724666e-07,0
200,2,1.73205080756888,100,23,0.1,0.5,2.60243721908017e-06,0
200,2,1.73205080756888,100,24,0.1,0.5,4.15739260981668e-05,0
200,2,1.73205080756888,100,25,0.1,0.5,2.1681349636638e-07,0
200,2,1.73205080756888,100,26,0.1,0.5,5.89944802222073e-07,0
200,2,1.73205080756888,100,27,0.1,0.5,0.000146198349726269,0
200,2,1.73205080756888,100,28,0.1,0.5,8.58510683265258e-05,0
200,2,1.73205080756888,100,29,0.1,0.5,1.26714489811234e-07,0
200,2,1.73205080756888,100,30,0.1,0.5,3.35007710126399e-07,0
200,2,1.73205080756888,100,31,0.1,0.5,1.58341838247135e-06,0
200,2,1.73205080756888,100,32,0.1,0.5,0.000136534025712257,0
200,2,1.73205080756888,100,33,0.1,0.5,4.01813065946465e-07,0
200,2,1.73205080756888,100,34,0.1,0.5,2.02823157421954e-05,0
200,2,1.73205080756888,100,35,0.1,0.5,9.96299215713808e-08,0
200,2,1.73205080756888,100,36,0.1,0.5,6.87919717829783e-06,0
200,2,1.73205080756888,100,37,0.1,0.5,2.18788243424853e-05,0
200,2,1.73205080756888,100,38,0.1,0.5,7.31607938329411e-06,0
200,2,1.73205080756888,100,39,0.1,0.5,0.000121383110477946,0
200,2,1.73205080756888,100,40,0.1,0.5,0.00380329912126335,0
