n_obs,d,sigma,B,sim,alpha,p_0,test_stat,reject
100,2,1.73205080756888,100,1,0.1,0.5,8.51432665976263e-05,0
100,2,1.73205080756888,100,2,0.1,0.5,0.000178248764564691,0
100,2,1.73205080756888,100,3,0.1,0.5,1.49052987803261e-06,0
100,2,1.73205080756888,100,4,0.1,0.5,9.98115891587863e-06,0
100,2,1.73205080756888,100,5,0.1,0.5,6.27214812203628e-06,0
100,2,1.73205080756888,100,6,0.1,0.5,1.36600881358771e-05,0
100,2,1.73205080756888,100,7,0.1,0.5,2.69808964077494e-06,0
100,2,1.73205080756888,100,8,0.1,0.5,1.70360998802518e-05,0
100,2,1.73205080756888,100,9,0.1,0.5,5.94858631709599e-05,0
100,2,1.73205080756888,100,10,0.1,0.5,3.76760029796427e-05,0
100,2,1.73205080756888,100,11,0.1,0.5,0.000604093577420234,0
100,2,1.73205080756888,100,12,0.1,0.5,1.76259008527991e-05,0
100,2,1.73205080756888,100,13,0.1,0.5,1.02837040050511e-05,0
100,2,1.73205080756888,100,14,0.1,0.5,0.000161530774242611,0
100,2,1.73205080756888,100,15,0.1,0.5,1.0848183635996e-05,0
100,2,1.73205080756888,100,16,0.1,0.5,0.000228933213517822,0
100,2,1.73205080756888,100,17,0.1,0.5,1.85276820662413e-06,0
100,2,1.73205080756888,100,18,0.1,0.5,0.000426339865078031,0
100,2,1.73205080756888,100,19,0.1,0.5,1.48977622223773e-06,0
100,2,1.73205080756888,100,20,0.1,0.5,5.27514276343942e-06,0
100,2,1.73205080756888,100,21,0.1,0.5,1.50579891932558e-06,0
100,2,1.73205080756888,100,22,0.1,0.5,9.61070062605862e-07,0
100,2,1.73205080756888,100,23,0.1,0.5,9.83586559875045e-05,0
100,2,1.73205080756888,100,24,0.1,0.5,2.0526322105178e-05,0
100,2,1.73205080756888,100,25,0.1,0.5,5.39125434331038e-07,0
100,2,1.73205080756888,100,26,0.1,0.5,0.00132523593516547,0
100,2,1.73205080756888,100,27,0.1,0.5,1.31396920849344e-05,0
100,2,1.73205080756888,100,28,0.1,0.5,1.52030411552627e-05,0
100,2,1.73205080756888,100,29,0.1,0.5,4.31564911745068e-05,0
100,2,1.73205080756888,100,30,0.1,0.5,1.84342383966098e-05,0
100,2,1.73205080756888,100,31,0.1,0.5,6.53082385969221e-05,0
100,2,1.73205080756888,100,32,0.1,0.5,1.10295567109125e-05,0
100,2,1.73205080756888,100,33,0.1,0.5,8.43055697633079e-05,0
100,2,1.73205080756888,100,34,0.1,0.5,1.10080311068438e-05,0
100,2,1.73205080756888,100,35,0.1,0.5,2.02229888582493e-05,0
100,2,1.73205080756888,100,36,0.1,0.5,3.76639094970572e-05,0
100,2,1.73205080756888,100,37,0.1,0.5,2.32473504762274e-05,0
100,2,1.73205080756888,100,38,0.1,0.5,2.25718442190474e-07,0
100,2,1.73205080756888,100,39,0.1,0.5,2.15486137716908e-06,0
100,2,1.73205080756888,100,40,0.1,0.5,1.72048466993776e-05,0
100,2,1.73205080756888,100,41,0.1,0.5,0.000234813273277092,0
100,2,1.73205080756888,100,42,0.1,0.5,2.6887486361109e-05,0
100,2,1.73205080756888,100,43,0.1,0.5,0.000171979396966836,0
100,2,1.73205080756888,100,44,0.1,0.5,8.04489492638369e-05,0
100,2,1.73205080756888,100,45,0.1,0.5,1.14453662010253e-06,0
100,2,1.73205080756888,100,46,0.1,0.5,2.81268796995704e-05,0
100,2,1.73205080756888,100,47,0.1,0.5,8.73354656644997e-07,0
100,2,1.73205080756888,100,48,0.1,0.5,5.19558697769819e-06,0
100,2,1.73205080756888,100,49,0.1,0.5,4.89303254521567e-05,0
100,2,1.73205080756888,100,50,0.1,0.5,3.17230044886062e-05,0
100,2,1.73205080756888,100,51,0.1,0.5,5.43904368037611e-06,0
100,2,1.73205080756888,100,52,0.1,0.5,4.55152566483686e-05,0
100,2,1.73205080756888,100,53,0.1,0.5,2.79701564675644e-05,0
100,2,1.73205080756888,100,54,0.1,0.5,2.78686100570151e-05,0
100,2,1.73205080756888,100,55,0.1,0.5,1.06047731485454e-06,0
100,2,1.73205080756888,100,56,0.1,0.5,1.77061128134907e-06,0
100,2,1.73205080756888,100,57,0.1,0.5,0.00016499309901239,0
100,2,1.73205080756888,100,58,0.1,0.5,7.24229138253343e-05,0
100,2,1.73205080756888,100,59,0.1,0.5,8.29187192564337e-05,0
100,2,1.73205080756888,100,60,0.1,0.5,0.000260487374492076,0
100,2,1.73205080756888,100,61,0.1,0.5,0.000104700430707299,0
100,2,1.73205080756888,100,62,0.1,0.5,0.000125363128257113,0
100,2,1.73205080756888,100,63,0.1,0.5,4.2997382098893e-05,0
100,2,1.73205080756888,100,64,0.1,0.5,7.30402334529773e-05,0
100,2,1.73205080756888,100,65,0.1,0.5,7.88966768195699e-05,0
100,2,1.73205080756888,100,66,0.1,0.5,5.18261273151935e-05,0
100,2,1.73205080756888,100,67,0.1,0.5,7.88645301872498e-05,0
100,2,1.73205080756888,100,68,0.1,0.5,2.70134654413399e-06,0
100,2,1.73205080756888,100,69,0.1,0.5,1.42214595189396e-06,0
100,2,1.73205080756888,100,70,0.1,0.5,3.94040780011171e-06,0
100,2,1.73205080756888,100,71,0.1,0.5,1.94512427309883e-05,0
100,2,1.73205080756888,100,72,0.1,0.5,0.000184355748949488,0
100,2,1.73205080756888,100,73,0.1,0.5,4.6146232978487e-05,0
100,2,1.73205080756888,100,74,0.1,0.5,3.03606574635527e-05,0
100,2,1.73205080756888,100,75,0.1,0.5,1.55468544537758e-05,0
100,2,1.73205080756888,100,76,0.1,0.5,0.0001781468206488,0
100,2,1.73205080756888,100,77,0.1,0.5,4.11316943911144e-05,0
100,2,1.73205080756888,100,78,0.1,0.5,0.000246566850573193,0
100,2,1.73205080756888,100,79,0.1,0.5,4.88360843327008e-08,0
100,2,1.73205080756888,100,80,0.1,0.5,5.25963336879345e-05,0
100,2,1.73205080756888,100,81,0.1,0.5,1.97505302214806e-06,0
100,2,1.73205080756888,100,82,0.1,0.5,6.83247484193948e-07,0
100,2,1.73205080756888,100,83,0.1,0.5,0.000872432452736626,0
100,2,1.73205080756888,100,84,0.1,0.5,6.65061954081214e-06,0
100,2,1.73205080756888,100,85,0.1,0.5,0.000262497413210817,0
100,2,1.73205080756888,100,86,0.1,0.5,0.000130716051289416,0
100,2,1.73205080756888,100,87,0.1,0.5,7.86696957551133e-05,0
100,2,1.73205080756888,100,88,0.1,0.5,0.000320467713377013,0
100,2,1.73205080756888,100,89,0.1,0.5,5.10249192355386e-06,0
100,2,1.73205080756888,100,90,0.1,0.5,6.92760904222855e-05,0
100,2,1.73205080756888,100,91,0.1,0.5,1.39256502872736e-05,0
100,2,1.73205080756888,100,92,0.1,0.5,3.90828893498987e-05,0
100,2,1.73205080756888,100,93,0.1,0.5,0.000240809021443352,0
100,2,1.73205080756888,100,94,0.1,0.5,7.80680895122605e-05,0
100,2,1.73205080756888,100,95,0.1,0.5,0.000120260530542137,0
100,2,1.73205080756888,100,96,0.1,0.5,3.89702281520276e-05,0
100,2,1.73205080756888,100,97,0.1,0.5,5.32621090919249e-06,0
100,2,1.73205080756888,100,98,0.1,0.5,0.00014587687440038,0
100,2,1.73205080756888,100,99,0.1,0.5,0.000192902536807545,0
100,2,1.73205080756888,100,100,0.1,0.5,8.5305947634761e-05,0
100,2,1.73205080756888,100,101,0.1,0.5,8.69291793567059e-06,0
100,2,1.73205080756888,100,102,0.1,0.5,1.58992725715955e-06,0
100,2,1.73205080756888,100,103,0.1,0.5,0.000390340601456171,0
100,2,1.73205080756888,100,104,0.1,0.5,2.02289375324101e-05,0
100,2,1.73205080756888,100,105,0.1,0.5,0.000131630370663779,0
100,2,1.73205080756888,100,106,0.1,0.5,4.30296099434839e-05,0
100,2,1.73205080756888,100,107,0.1,0.5,1.20407343619551e-06,0
100,2,1.73205080756888,100,108,0.1,0.5,6.06922591915846e-05,0
100,2,1.73205080756888,100,109,0.1,0.5,2.95757482661679e-05,0
100,2,1.73205080756888,100,110,0.1,0.5,0.000954042954279224,0
100,2,1.73205080756888,100,111,0.1,0.5,9.23591754020555e-07,0
100,2,1.73205080756888,100,112,0.1,0.5,1.62912634062518e-05,0
100,2,1.73205080756888,100,113,0.1,0.5,6.96769105092399e-06,0
100,2,1.73205080756888,100,114,0.1,0.5,5.74359192372911e-06,0
100,2,1.73205080756888,100,115,0.1,0.5,1.39731030996559e-05,0
100,2,1.73205080756888,100,116,0.1,0.5,0.000372395535530008,0
100,2,1.73205080756888,100,117,0.1,0.5,8.46547467982895e-05,0
100,2,1.73205080756888,100,118,0.1,0.5,0.000158892453649165,0
100,2,1.73205080756888,100,119,0.1,0.5,2.77515529456625e-05,0
100,2,1.73205080756888,100,120,0.1,0.5,3.1008105345861e-05,0
100,2,1.73205080756888,100,121,0.1,0.5,2.23920105831181e-05,0
100,2,1.73205080756888,100,122,0.1,0.5,1.13076680682673e-05,0
100,2,1.73205080756888,100,123,0.1,0.5,1.15841875611408e-06,0
100,2,1.73205080756888,100,124,0.1,0.5,0.000192734654064558,0
100,2,1.73205080756888,100,125,0.1,0.5,4.20186497515699e-05,0
100,2,1.73205080756888,100,126,0.1,0.5,0.000170443600594153,0
100,2,1.73205080756888,100,127,0.1,0.5,3.09304636870073e-06,0
100,2,1.73205080756888,100,128,0.1,0.5,0.000457551491781983,0
100,2,1.73205080756888,100,129,0.1,0.5,0.000614219029196387,0
100,2,1.73205080756888,100,130,0.1,0.5,0.000608083381119061,0
100,2,1.73205080756888,100,131,0.1,0.5,0.000115345189443336,0
100,2,1.73205080756888,100,132,0.1,0.5,7.09271724327878e-05,0
100,2,1.73205080756888,100,133,0.1,0.5,2.19926981763024e-06,0
100,2,1.73205080756888,100,134,0.1,0.5,0.000366864697733324,0
100,2,1.73205080756888,100,135,0.1,0.5,8.58779083392234e-05,0
100,2,1.73205080756888,100,136,0.1,0.5,7.1276823592855e-06,0
100,2,1.73205080756888,100,137,0.1,0.5,4.08107135543417e-05,0
100,2,1.73205080756888,100,138,0.1,0.5,1.9241964461528e-05,0
100,2,1.73205080756888,100,139,0.1,0.5,0.000655407551845529,0
100,2,1.73205080756888,100,140,0.1,0.5,2.24181771036661e-06,0
100,2,1.73205080756888,100,141,0.1,0.5,1.64851607609389e-05,0
100,2,1.73205080756888,100,142,0.1,0.5,0.000315508154723443,0
100,2,1.73205080756888,100,143,0.1,0.5,2.41814773831675e-05,0
100,2,1.73205080756888,100,144,0.1,0.5,4.00295848826846e-06,0
100,2,1.73205080756888,100,145,0.1,0.5,8.64298511837093e-06,0
100,2,1.73205080756888,100,146,0.1,0.5,0.000364167520548024,0
100,2,1.73205080756888,100,147,0.1,0.5,0.000619210619710687,0
100,2,1.73205080756888,100,148,0.1,0.5,4.25171941702405e-05,0
100,2,1.73205080756888,100,149,0.1,0.5,1.50750094019222e-06,0
100,2,1.73205080756888,100,150,0.1,0.5,0.000248499124058272,0
100,2,1.73205080756888,100,151,0.1,0.5,1.49160481683055e-05,0
100,2,1.73205080756888,100,152,0.1,0.5,8.50257734357504e-06,0
100,2,1.73205080756888,100,153,0.1,0.5,1.32978097806251e-06,0
100,2,1.73205080756888,100,154,0.1,0.5,0.000436841491135021,0
100,2,1.73205080756888,100,155,0.1,0.5,1.95714257093145e-06,0
100,2,1.73205080756888,100,156,0.1,0.5,7.98365673863191e-05,0
100,2,1.73205080756888,100,157,0.1,0.5,0.00196597069252173,0
100,2,1.73205080756888,100,158,0.1,0.5,7.44812872700735e-05,0
100,2,1.73205080756888,100,159,0.1,0.5,5.3288753938319e-06,0
100,2,1.73205080756888,100,160,0.1,0.5,2.60538162537963e-05,0
100,2,1.73205080756888,100,161,0.1,0.5,2.56232651519815e-05,0
100,2,1.73205080756888,100,162,0.1,0.5,5.21458082052562e-06,0
100,2,1.73205080756888,100,163,0.1,0.5,3.70532906036756e-05,0
100,2,1.73205080756888,100,164,0.1,0.5,5.98116320246274e-05,0
100,2,1.73205080756888,100,165,0.1,0.5,6.24269822652793e-06,0
100,2,1.73205080756888,100,166,0.1,0.5,4.40103329853727e-07,0
100,2,1.73205080756888,100,167,0.1,0.5,8.54728123419394e-05,0
100,2,1.73205080756888,100,168,0.1,0.5,1.33976169931558e-05,0
100,2,1.73205080756888,100,169,0.1,0.5,1.59565039859536e-05,0
100,2,1.73205080756888,100,170,0.1,0.5,5.6861943225158e-06,0
100,2,1.73205080756888,100,171,0.1,0.5,2.48046065161995e-05,0
100,2,1.73205080756888,100,172,0.1,0.5,0.000488299064045936,0
100,2,1.73205080756888,100,173,0.1,0.5,2.64089275773445e-07,0
100,2,1.73205080756888,100,174,0.1,0.5,0.000301662926516476,0
100,2,1.73205080756888,100,175,0.1,0.5,0.000159139409755782,0
100,2,1.73205080756888,100,176,0.1,0.5,5.28113163938404e-05,0
100,2,1.73205080756888,100,177,0.1,0.5,0.000313077409419285,0
100,2,1.73205080756888,100,178,0.1,0.5,6.55717043689733e-07,0
100,2,1.73205080756888,100,179,0.1,0.5,0.000158193141951642,0
100,2,1.73205080756888,100,180,0.1,0.5,9.21115397147735e-06,0
100,2,1.73205080756888,100,181,0.1,0.5,5.11529400508899e-05,0
100,2,1.73205080756888,100,182,0.1,0.5,1.56142036719964e-06,0
100,2,1.73205080756888,100,183,0.1,0.5,8.2644393582281e-05,0
100,2,1.73205080756888,100,184,0.1,0.5,2.89503270611432e-05,0
100,2,1.73205080756888,100,185,0.1,0.5,3.51580502961924e-05,0
100,2,1.73205080756888,100,186,0.1,0.5,8.12556398233906e-06,0
100,2,1.73205080756888,100,187,0.1,0.5,2.97030058489003e-05,0
100,2,1.73205080756888,100,188,0.1,0.5,8.30750217412993e-06,0
