n_obs,d,sigma,B,sim,alpha,p_0,test_stat,reject
800,2,1.73205080756888,100,1,0.1,0.5,1.34564125609925e-08,0
800,2,1.73205080756888,100,2,0.1,0.5,5.05297422985071e-07,0
800,2,1.73205080756888,100,3,0.1,0.5,8.94862748715795e+45,1
800,2,1.73205080756888,100,4,0.1,0.5,1.18314965852947e-05,0
800,2,1.73205080756888,100,5,0.1,0.5,6.23560440362431e-10,0
800,2,1.73205080756888,100,6,0.1,0.5,9.2935221402652e-07,0
800,2,1.73205080756888,100,7,0.1,0.5,3.58267216407943e-08,0
800,2,1.73205080756888,100,8,0.1,0.5,0.000865636845502689,0
800,2,1.73205080756888,100,9,0.1,0.5,9.13599775222258e-07,0
800,2,1.73205080756888,100,10,0.1,0.5,0.000154600260084381,0
800,2,1.73205080756888,100,11,0.1,0.5,1.12844030898016e-09,0
800,2,1.73205080756888,100,12,0.1,0.5,5.13028060699268e-06,0
800,2,1.73205080756888,100,13,0.1,0.5,127223775198861,1
800,2,1.73205080756888,100,14,0.1,0.5,1.21392264560649e+238,1
800,2,1.73205080756888,100,15,0.1,0.5,1.01743585765307e-06,0
800,2,1.73205080756888,100,16,0.1,0.5,6.23598133106628e-06,0
800,2,1.73205080756888,100,17,0.1,0.5,3.207111307018e-06,0
800,2,1.73205080756888,100,18,0.1,0.5,1.54965763753256e-07,0
800,2,1.73205080756888,100,19,0.1,0.5,2.46500518204056e+251,1
800,2,1.73205080756888,100,20,0.1,0.5,5.71883462417788e+76,1
800,2,1.73205080756888,100,21,0.1,0.5,6.50275049183196e-09,0
800,2,1.73205080756888,100,22,0.1,0.5,3.42992294516717e-05,0
800,2,1.73205080756888,100,23,0.1,0.5,9.1359500798249e-07,0
800,2,1.73205080756888,100,24,0.1,0.5,9.98997411494253e-09,0
800,2,1.73205080756888,100,25,0.1,0.5,1.31316597715611e-06,0
800,2,1.73205080756888,100,26,0.1,0.5,3815.71488897084,1
800,2,1.73205080756888,100,27,0.1,0.5,7.88739686076175e-07,0
800,2,1.73205080756888,100,28,0.1,0.5,1.20961305044083e-08,0
800,2,1.73205080756888,100,29,0.1,0.5,9.48462381372664e-09,0
800,2,1.73205080756888,100,30,0.1,0.5,1.25675939622694e-07,0
800,2,1.73205080756888,100,31,0.1,0.5,1.35301765284e-07,0
800,2,1.73205080756888,100,32,0.1,0.5,4.56238704679386e-06,0
800,2,1.73205080756888,100,33,0.1,0.5,1.07793032780216e-06,0
800,2,1.73205080756888,100,34,0.1,0.5,8.68632397002834e-07,0
800,2,1.73205080756888,100,35,0.1,0.5,2.85336140313113e-08,0
800,2,1.73205080756888,100,36,0.1,0.5,1.19299368954671e-05,0
800,2,1.73205080756888,100,37,0.1,0.5,1.82962727552524e-06,0
800,2,1.73205080756888,100,38,0.1,0.5,4.68203833130149e-09,0
800,2,1.73205080756888,100,39,0.1,0.5,2.9273327423406e-08,0
800,2,1.73205080756888,100,40,0.1,0.5,1.65625533361621e-06,0
800,2,1.73205080756888,100,41,0.1,0.5,2.4208466034181e-06,0
800,2,1.73205080756888,100,42,0.1,0.5,Inf,1
800,2,1.73205080756888,100,43,0.1,0.5,6.7810660356131e-08,0
800,2,1.73205080756888,100,44,0.1,0.5,4.43172446975935e-08,0
800,2,1.73205080756888,100,45,0.1,0.5,2.72931656508817e-06,0
800,2,1.73205080756888,100,46,0.1,0.5,6.90629040052047e-07,0
800,2,1.73205080756888,100,47,0.1,0.5,9.2605022260435e-06,0
800,2,1.73205080756888,100,48,0.1,0.5,1.14839349296915e-07,0
800,2,1.73205080756888,100,49,0.1,0.5,1.5067626349248e-07,0
800,2,1.73205080756888,100,50,0.1,0.5,9.6730825282535e-07,0
800,2,1.73205080756888,100,51,0.1,0.5,4.06763159538057e-09,0
800,2,1.73205080756888,100,52,0.1,0.5,1.28713236968752e-08,0
800,2,1.73205080756888,100,53,0.1,0.5,Inf,1
800,2,1.73205080756888,100,54,0.1,0.5,2.77525561458233e-10,0
800,2,1.73205080756888,100,55,0.1,0.5,2.50644920394026e-09,0
800,2,1.73205080756888,100,56,0.1,0.5,5.71985583299128e+24,1
800,2,1.73205080756888,100,57,0.1,0.5,8.30928747790568e-06,0
800,2,1.73205080756888,100,58,0.1,0.5,1.23193707015525e-06,0
800,2,1.73205080756888,100,59,0.1,0.5,1.04956103877207e-07,0
800,2,1.73205080756888,100,60,0.1,0.5,1.53109783530029e-06,0
800,2,1.73205080756888,100,61,0.1,0.5,3.65443840261444e-09,0
800,2,1.73205080756888,100,62,0.1,0.5,1.51078484778512e+48,1
800,2,1.73205080756888,100,63,0.1,0.5,5.3893156203891e-08,0
800,2,1.73205080756888,100,64,0.1,0.5,1.70708949236387e-07,0
800,2,1.73205080756888,100,65,0.1,0.5,7.19298452741616,0
800,2,1.73205080756888,100,66,0.1,0.5,9.29155015428098e-07,0
800,2,1.73205080756888,100,67,0.1,0.5,3.18675587458739e-07,0
800,2,1.73205080756888,100,68,0.1,0.5,8663618165698,1
800,2,1.73205080756888,100,69,0.1,0.5,1.01821232700075e+58,1
800,2,1.73205080756888,100,70,0.1,0.5,13693951645569.6,1
