n_obs,d,sigma,B,sim,alpha,p_0,test_stat,reject
400,2,1.73205080756888,100,1,0.1,0.5,8.35547146244576e-07,0
400,2,1.73205080756888,100,2,0.1,0.5,4.26633370703909e-06,0
400,2,1.73205080756888,100,3,0.1,0.5,1.84910024118123e-07,0
400,2,1.73205080756888,100,4,0.1,0.5,1.10628386723925e-07,0
400,2,1.73205080756888,100,5,0.1,0.5,4.37158147858056e-08,0
400,2,1.73205080756888,100,6,0.1,0.5,5.57617496219062e-06,0
400,2,1.73205080756888,100,7,0.1,0.5,2.39674681615408e-07,0
400,2,1.73205080756888,100,8,0.1,0.5,1.73800975861231e-08,0
400,2,1.73205080756888,100,9,0.1,0.5,9.38607807047679e-11,0
400,2,1.73205080756888,100,10,0.1,0.5,1.54427692709596e-07,0
400,2,1.73205080756888,100,11,0.1,0.5,1.1834108022577e-07,0
400,2,1.73205080756888,100,12,0.1,0.5,4.38467530906433e-07,0
400,2,1.73205080756888,100,13,0.1,0.5,7.63563971909323e-07,0
400,2,1.73205080756888,100,14,0.1,0.5,3.22192319558566e-07,0
400,2,1.73205080756888,100,15,0.1,0.5,7.67000074384597e-05,0
400,2,1.73205080756888,100,16,0.1,0.5,5.92817291029396e-06,0
400,2,1.73205080756888,100,17,0.1,0.5,9.16274553220541e-06,0
400,2,1.73205080756888,100,18,0.1,0.5,4.37286532221176e-06,0
400,2,1.73205080756888,100,19,0.1,0.5,1.50493532186663e-07,0
400,2,1.73205080756888,100,20,0.1,0.5,240555.012640182,1
400,2,1.73205080756888,100,21,0.1,0.5,6.2447994801367e-07,0
400,2,1.73205080756888,100,22,0.1,0.5,7.10611198785814e-07,0
400,2,1.73205080756888,100,23,0.1,0.5,3.28839311556644e-06,0
400,2,1.73205080756888,100,24,0.1,0.5,2.47637208713979e-06,0
400,2,1.73205080756888,100,25,0.1,0.5,6.71641064451424e-07,0
400,2,1.73205080756888,100,26,0.1,0.5,7.73008038201889e-07,0
400,2,1.73205080756888,100,27,0.1,0.5,5.40099601264433e-06,0
400,2,1.73205080756888,100,28,0.1,0.5,5.8613475499194e-07,0
400,2,1.73205080756888,100,29,0.1,0.5,3.89404224790928e-06,0
400,2,1.73205080756888,100,30,0.1,0.5,3.20416811831606e-08,0
400,2,1.73205080756888,100,31,0.1,0.5,1.76659503076131e-05,0
400,2,1.73205080756888,100,32,0.1,0.5,2.36273591509259e-05,0
400,2,1.73205080756888,100,33,0.1,0.5,3.21523638579151e-06,0
400,2,1.73205080756888,100,34,0.1,0.5,2.66003373912e-06,0
400,2,1.73205080756888,100,35,0.1,0.5,4.77647902478828e-07,0
400,2,1.73205080756888,100,36,0.1,0.5,9.26383136418005e-08,0
400,2,1.73205080756888,100,37,0.1,0.5,1.77709710173557e-07,0
400,2,1.73205080756888,100,38,0.1,0.5,2.40704830909381e-07,0
400,2,1.73205080756888,100,39,0.1,0.5,2.86722227713211e-06,0
400,2,1.73205080756888,100,40,0.1,0.5,9.25107187122917e-09,0
400,2,1.73205080756888,100,41,0.1,0.5,5.00067914512533e-07,0
400,2,1.73205080756888,100,42,0.1,0.5,2.96930448657456e-05,0
400,2,1.73205080756888,100,43,0.1,0.5,1.82721822758934e-08,0
400,2,1.73205080756888,100,44,0.1,0.5,1.05205051396163e-05,0
400,2,1.73205080756888,100,45,0.1,0.5,4.10914572530094e-07,0
400,2,1.73205080756888,100,46,0.1,0.5,6.31438099091787e-07,0
400,2,1.73205080756888,100,47,0.1,0.5,8.11258601726938e-06,0
400,2,1.73205080756888,100,48,0.1,0.5,9.58983405740375e-06,0
400,2,1.73205080756888,100,49,0.1,0.5,2.00774738355585e-05,0
400,2,1.73205080756888,100,50,0.1,0.5,5.33944901249711e-07,0
400,2,1.73205080756888,100,51,0.1,0.5,3.91003769359542e-07,0
400,2,1.73205080756888,100,52,0.1,0.5,5.99750039884259e-06,0
400,2,1.73205080756888,100,53,0.1,0.5,7.31025836915855e-07,0
400,2,1.73205080756888,100,54,0.1,0.5,5.7884066314433e-07,0
400,2,1.73205080756888,100,55,0.1,0.5,6.78755019958757e-07,0
400,2,1.73205080756888,100,56,0.1,0.5,7.86768066208927e-06,0
400,2,1.73205080756888,100,57,0.1,0.5,3.62330535169948e-06,0
400,2,1.73205080756888,100,58,0.1,0.5,1.74950110988562e-06,0
400,2,1.73205080756888,100,59,0.1,0.5,1.08935147180252e-05,0
400,2,1.73205080756888,100,60,0.1,0.5,1.10974442470633e-06,0
400,2,1.73205080756888,100,61,0.1,0.5,5.04915425391881e-05,0
400,2,1.73205080756888,100,62,0.1,0.5,7.89671094153397e-08,0
400,2,1.73205080756888,100,63,0.1,0.5,4.92871525222813e-06,0
400,2,1.73205080756888,100,64,0.1,0.5,1.87959377623855e-06,0
400,2,1.73205080756888,100,65,0.1,0.5,8.07629194980294e-07,0
400,2,1.73205080756888,100,66,0.1,0.5,7.40437162288032e-09,0
400,2,1.73205080756888,100,67,0.1,0.5,0.000174416719328284,0
400,2,1.73205080756888,100,68,0.1,0.5,1.47888342715624e-06,0
400,2,1.73205080756888,100,69,0.1,0.5,4.13999214251067e-06,0
400,2,1.73205080756888,100,70,0.1,0.5,7.68127030909512e-07,0
400,2,1.73205080756888,100,71,0.1,0.5,2.69877426602936e-07,0
400,2,1.73205080756888,100,72,0.1,0.5,7.64510510882688e-05,0
400,2,1.73205080756888,100,73,0.1,0.5,1.83320996666797e-06,0
400,2,1.73205080756888,100,74,0.1,0.5,1.13480384773273e-05,0
400,2,1.73205080756888,100,75,0.1,0.5,3.01822365299794e+29,1
400,2,1.73205080756888,100,76,0.1,0.5,9.1136401155098e-05,0
400,2,1.73205080756888,100,77,0.1,0.5,Inf,1
400,2,1.73205080756888,100,78,0.1,0.5,1.95224893185095e-06,0
400,2,1.73205080756888,100,79,0.1,0.5,5.59484475104758e-06,0
400,2,1.73205080756888,100,80,0.1,0.5,4.69172327536811e-08,0
400,2,1.73205080756888,100,81,0.1,0.5,2.05180372565116e-06,0
400,2,1.73205080756888,100,82,0.1,0.5,1.33808661339051e-05,0
400,2,1.73205080756888,100,83,0.1,0.5,5.11305076638585e-08,0
400,2,1.73205080756888,100,84,0.1,0.5,3.9453584646287e-07,0
400,2,1.73205080756888,100,85,0.1,0.5,3.265562463186e-06,0
400,2,1.73205080756888,100,86,0.1,0.5,3.08697945191226e-08,0
400,2,1.73205080756888,100,87,0.1,0.5,4.14996023004788e-08,0
400,2,1.73205080756888,100,88,0.1,0.5,7.54669796626561e+283,1
400,2,1.73205080756888,100,89,0.1,0.5,1.49859046398692e-05,0
400,2,1.73205080756888,100,90,0.1,0.5,4.00873448996808e-07,0
400,2,1.73205080756888,100,91,0.1,0.5,2.58138040370596e-07,0
400,2,1.73205080756888,100,92,0.1,0.5,1.93818581644158e-07,0
400,2,1.73205080756888,100,93,0.1,0.5,3.18925076083979e-06,0
400,2,1.73205080756888,100,94,0.1,0.5,6.61031287367845e-06,0
400,2,1.73205080756888,100,95,0.1,0.5,9.66947978309751e-06,0
400,2,1.73205080756888,100,96,0.1,0.5,4.64056865790677e-05,0
400,2,1.73205080756888,100,97,0.1,0.5,0.000689670074660248,0
400,2,1.73205080756888,100,98,0.1,0.5,5.95902038502883e-07,0
400,2,1.73205080756888,100,99,0.1,0.5,5.48958364431193e-06,0
400,2,1.73205080756888,100,100,0.1,0.5,5.38701984532216e-06,0
400,2,1.73205080756888,100,101,0.1,0.5,4.87206747547795e-07,0
400,2,1.73205080756888,100,102,0.1,0.5,8.01550802365327e-07,0
400,2,1.73205080756888,100,103,0.1,0.5,1.83184254316445e-07,0
400,2,1.73205080756888,100,104,0.1,0.5,3.95682852319511e-05,0
400,2,1.73205080756888,100,105,0.1,0.5,1.78907580288312e-06,0
400,2,1.73205080756888,100,106,0.1,0.5,8.88525151372629e-06,0
400,2,1.73205080756888,100,107,0.1,0.5,5.42753808105171e+26,1
400,2,1.73205080756888,100,108,0.1,0.5,4.83004519969739e-05,0
400,2,1.73205080756888,100,109,0.1,0.5,0.000476001256941449,0
400,2,1.73205080756888,100,110,0.1,0.5,8.46294584331613e-05,0
400,2,1.73205080756888,100,111,0.1,0.5,2.99846729100795e-06,0
400,2,1.73205080756888,100,112,0.1,0.5,9.12490632886518e-06,0
400,2,1.73205080756888,100,113,0.1,0.5,1.24690776611857e-06,0
400,2,1.73205080756888,100,114,0.1,0.5,9.77170770815285e-06,0
400,2,1.73205080756888,100,115,0.1,0.5,6.20905002982863e-06,0
400,2,1.73205080756888,100,116,0.1,0.5,1.0750634365727e-05,0
400,2,1.73205080756888,100,117,0.1,0.5,5.25162356781639e-07,0
400,2,1.73205080756888,100,118,0.1,0.5,5.76034329129467e-06,0
400,2,1.73205080756888,100,119,0.1,0.5,3.11111129395005e-09,0
400,2,1.73205080756888,100,120,0.1,0.5,2.06132977133004e-05,0
400,2,1.73205080756888,100,121,0.1,0.5,3.41141047174249e-07,0
400,2,1.73205080756888,100,122,0.1,0.5,4.89524135229448e-06,0
400,2,1.73205080756888,100,123,0.1,0.5,5.3761475101595e-07,0
400,2,1.73205080756888,100,124,0.1,0.5,7.34551860507884e-06,0
400,2,1.73205080756888,100,125,0.1,0.5,9.4426532506472e-07,0
400,2,1.73205080756888,100,126,0.1,0.5,1.29095580452697e-06,0
400,2,1.73205080756888,100,127,0.1,0.5,4.46652329052583e-06,0
400,2,1.73205080756888,100,128,0.1,0.5,2.47990859551655e-05,0
400,2,1.73205080756888,100,129,0.1,0.5,2.04358695185977e-07,0
400,2,1.73205080756888,100,130,0.1,0.5,2.06528966893207e-05,0
400,2,1.73205080756888,100,131,0.1,0.5,1.3605267546183e-06,0
400,2,1.73205080756888,100,132,0.1,0.5,2.22023069396781e-06,0
400,2,1.73205080756888,100,133,0.1,0.5,3.41186401018473e-06,0
400,2,1.73205080756888,100,134,0.1,0.5,3.85664140579358e-06,0
400,2,1.73205080756888,100,135,0.1,0.5,6.55355777637886e-05,0
400,2,1.73205080756888,100,136,0.1,0.5,1.42354781392368e-05,0
400,2,1.73205080756888,100,137,0.1,0.5,2.46270075155163e-05,0
400,2,1.73205080756888,100,138,0.1,0.5,4.69243245573888e-05,0
400,2,1.73205080756888,100,139,0.1,0.5,1.79947749654917e-06,0
400,2,1.73205080756888,100,140,0.1,0.5,3.39851154248187e-06,0
400,2,1.73205080756888,100,141,0.1,0.5,0.000104697342832759,0
400,2,1.73205080756888,100,142,0.1,0.5,4.81701150222614e-06,0
400,2,1.73205080756888,100,143,0.1,0.5,2.54728778420903e-07,0
400,2,1.73205080756888,100,144,0.1,0.5,0.000115987606886021,0
400,2,1.73205080756888,100,145,0.1,0.5,4.06911421361988e-06,0
400,2,1.73205080756888,100,146,0.1,0.5,7.9977783336238e-07,0
400,2,1.73205080756888,100,147,0.1,0.5,1.40829528694439e-05,0
400,2,1.73205080756888,100,148,0.1,0.5,1.42214782750975e-06,0
400,2,1.73205080756888,100,149,0.1,0.5,2.29307337479522e-05,0
400,2,1.73205080756888,100,150,0.1,0.5,5.99568758812192e-08,0
400,2,1.73205080756888,100,151,0.1,0.5,3.40442332179483e-07,0
400,2,1.73205080756888,100,152,0.1,0.5,9.92286140187506e-06,0
