d,mu_norm,n_obs,start_sim,n_sim,n_proj,B,equal_space_mu,compute_ts
1,0,100,1,10,100,100,0,0
1,5,100,1,10,100,100,0,0
1,10,100,1,10,100,100,0,0
2,0,100,1,10,100,100,0,0
2,5,100,1,10,100,100,0,0
2,10,100,1,10,100,100,0,0
3,0,100,1,10,100,100,0,0
3,5,100,1,10,100,100,0,0
3,10,100,1,10,100,100,0,0
4,0,100,1,10,100,100,0,0
4,5,100,1,10,100,100,0,0
4,10,100,1,10,100,100,0,0
